Number of species	9
Number of genes	482427
Number of genes in orthogroups	445813
Number of unassigned genes	36614
Percentage of genes in orthogroups	92.4
Percentage of unassigned genes	7.6
Number of orthogroups	27222
Number of species-specific orthogroups	5260
Number of genes in species-specific orthogroups	27355
Percentage of genes in species-specific orthogroups	5.7
Mean orthogroup size	16.4
Median orthogroup size	13.0
G50 (assigned genes)	26
G50 (all genes)	23
O50 (assigned genes)	4164
O50 (all genes)	4908
Number of orthogroups with all species present	8836
Number of single-copy orthogroups	2
Date	2025-11-19
Orthogroups file	Orthogroups.tsv
Unassigned genes file	Orthogroups_UnassignedGenes.tsv
Per-species statistics	Statistics_PerSpecies.tsv
Overall statistics	Statistics_Overall.tsv
Orthogroups shared between species	Orthogroups_SpeciesOverlaps.tsv

Average number of genes per-species in orthogroup	Number of orthogroups	Percentage of orthogroups	Number of genes	Percentage of genes
<1	10620	39.0	32548	7.3
'1	9593	35.2	129628	29.1
'2	3115	11.4	67742	15.2
'3	1806	6.6	53985	12.1
'4	721	2.6	28524	6.4
'5	364	1.3	17698	4.0
'6	217	0.8	12544	2.8
'7	150	0.6	9953	2.2
'8	109	0.4	8295	1.9
'9	67	0.2	5679	1.3
'10	63	0.2	5937	1.3
11-15	183	0.7	21386	4.8
16-20	96	0.4	15664	3.5
21-50	103	0.4	26860	6.0
51-100	14	0.1	7724	1.7
101-150	0	0.0	0	0.0
151-200	1	0.0	1646	0.4
201-500	0	0.0	0	0.0
501-1000	0	0.0	0	0.0
'1001+	0	0.0	0	0.0

Number of species in orthogroup	Number of orthogroups
1	5260
2	4313
3	1134
4	680
5	605
6	693
7	1425
8	4276
9	8836
