	Arabidopsis_thaliana	Avena_sativa	Brachypodium_distachyon	Hordeum_vulgare	Oryza_sativa	Sorghum_bicolor	Triticum_aestivum	Triticum_turgidum	Zea_mays
Number of genes	27562	106525	34310	35106	35786	34118	102734	66530	39756
Number of genes in orthogroups	24511	101879	29397	34355	28034	29483	98031	63824	36299
Number of unassigned genes	3051	4646	4913	751	7752	4635	4703	2706	3457
Percentage of genes in orthogroups	88.9	95.6	85.7	97.9	78.3	86.4	95.4	95.9	91.3
Percentage of unassigned genes	11.1	4.4	14.3	2.1	21.7	13.6	4.6	4.1	8.7
Number of orthogroups containing species	12788	17666	16326	15703	15474	16530	20570	19644	16197
Percentage of orthogroups containing species	47.0	64.9	60.0	57.7	56.8	60.7	75.6	72.2	59.5
Number of species-specific orthogroups	875	1182	281	92	828	396	488	394	724
Number of genes in species-specific orthogroups	4076	11725	824	1593	2306	1123	1463	1250	2995
Percentage of genes in species-specific orthogroups	14.8	11.0	2.4	4.5	6.4	3.3	1.4	1.9	7.5


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	14434	9556	10896	11519	11748	10692	6652	7578	11025
'1	7598	952	10476	10293	9757	10451	3512	4532	7969
'2	3235	1959	3631	3049	3517	3815	2828	8970	4396
'3	968	8306	1110	988	1041	1132	7627	1502	1731
'4	443	888	428	429	428	439	950	2064	806
'5	188	977	233	232	230	206	1053	600	430
'6	97	1935	105	148	117	143	1789	516	264
'7	46	359	64	93	94	78	417	246	151
'8	35	317	37	82	48	45	385	209	128
'9	25	434	43	51	47	35	419	154	69
'10	15	185	32	48	33	29	178	114	61
11-15	69	593	89	120	84	92	601	310	116
16-20	22	242	30	54	47	30	251	154	37
21-50	37	387	39	84	28	33	452	230	28
51-100	7	80	9	21	3	1	89	40	6
101-150	3	22	0	4	0	1	11	3	4
151-200	0	12	0	2	0	0	7	0	0
201-500	0	16	0	4	0	0	1	0	1
501-1000	0	1	0	1	0	0	0	0	0
'1001+	0	1	0	0	0	0	0	0	0

