Orthogroup	Arabidopsis_thaliana	Avena_sativa	Brachypodium_distachyon	Hordeum_vulgare	Oryza_sativa	Sorghum_bicolor	Triticum_aestivum	Triticum_turgidum	Zea_mays	Total
OG0000000	0	1646	0	0	0	0	0	0	0	1646
OG0000001	0	0	2	727	0	0	0	0	0	729
OG0000002	11	194	48	32	63	49	186	120	4	707
OG0000003	1	154	29	38	18	44	229	143	16	672
OG0000004	0	527	7	12	12	0	26	4	0	588
OG0000005	0	145	44	25	12	10	196	141	2	575
OG0000006	0	167	40	42	13	30	143	95	5	535
OG0000007	1	315	3	125	4	0	44	39	1	532
OG0000008	0	119	36	47	14	26	155	99	9	505
OG0000009	1	142	31	28	18	20	157	98	3	498
OG0000010	0	481	0	2	0	0	5	0	0	488
OG0000011	0	485	0	0	0	0	0	0	0	485
OG0000012	0	482	2	0	0	0	0	0	0	484
OG0000013	1	100	18	49	19	18	168	81	10	464
OG0000014	0	459	1	0	0	0	2	0	0	462
OG0000015	2	114	17	30	23	45	121	74	27	453
OG0000016	5	88	26	31	12	28	143	64	14	411
OG0000017	2	98	21	29	15	19	130	76	9	399
OG0000018	0	391	0	0	0	0	0	0	0	391
OG0000019	0	4	0	0	0	0	0	0	384	388
OG0000020	0	109	5	204	0	0	12	54	0	384
OG0000021	2	45	22	62	5	5	75	48	118	382
OG0000022	0	79	22	26	27	22	121	79	3	379
OG0000023	0	377	0	0	0	0	0	0	0	377
OG0000024	4	83	40	35	19	33	83	51	24	372
OG0000025	9	126	21	23	11	19	94	51	15	369
OG0000026	0	214	2	26	0	2	48	45	26	363
OG0000027	19	70	15	56	19	31	75	47	24	356
OG0000028	20	110	29	14	16	21	99	42	0	351
OG0000029	0	241	10	10	2	5	50	27	3	348
OG0000030	3	102	19	26	17	17	101	55	7	347
OG0000031	0	40	3	181	7	15	57	35	9	347
OG0000032	15	83	11	26	19	27	89	49	19	338
OG0000033	1	62	16	33	18	13	102	69	15	329
OG0000034	0	327	0	0	0	0	0	0	0	327
OG0000035	4	78	26	19	22	31	76	49	21	326
OG0000036	23	85	13	24	12	25	71	47	23	323
OG0000037	0	63	13	27	20	14	100	75	9	321
OG0000038	3	62	16	23	23	16	99	60	18	320
