,term_id,term_name,intersection,p_value,source,significant,gene_id
1,GO:2001141,regulation of RNA biosynthetic process,"TraesCS1A03G0201700,TraesCS1A03G0290300,TraesCS1A03G0761500,TraesCS1B03G0350100,TraesCS1D03G0166900,TraesCS1D03G0718600,TraesCS2A03G0210300,TraesCS2A03G0672700,TraesCS2A03G0940500,TraesCS2A03G1140700,TraesCS2B03G0480700,TraesCS2B03G0505700,TraesCS2B03G0726400,TraesCS2B03G1063400,TraesCS2B03G1109900,TraesCS2D03G0397500,TraesCS2D03G0881400,TraesCS2D03G0935500,TraesCS2D03G1042000,TraesCS3B03G0374100,TraesCS3B03G0951200,TraesCS3D03G0235600,TraesCS3D03G0292400,TraesCS3D03G0400200,TraesCS4D03G0239400,TraesCS4D03G0732800,TraesCS5A03G0432900,TraesCS5A03G0577000,TraesCS5D03G0438700,TraesCS6A03G0347500,TraesCS6A03G0715100,TraesCS6B03G0446800,TraesCS6D03G0742700,TraesCS7A03G0403400,TraesCS7A03G0494000,TraesCS7D03G0208800",6.18E-16,GO:BP,TRUE,TraesCS1A03G0201700
2,GO:2001141,regulation of RNA biosynthetic process,"TraesCS1A03G0201700,TraesCS1A03G0290300,TraesCS1A03G0761500,TraesCS1B03G0350100,TraesCS1D03G0166900,TraesCS1D03G0718600,TraesCS2A03G0210300,TraesCS2A03G0672700,TraesCS2A03G0940500,TraesCS2A03G1140700,TraesCS2B03G0480700,TraesCS2B03G0505700,TraesCS2B03G0726400,TraesCS2B03G1063400,TraesCS2B03G1109900,TraesCS2D03G0397500,TraesCS2D03G0881400,TraesCS2D03G0935500,TraesCS2D03G1042000,TraesCS3B03G0374100,TraesCS3B03G0951200,TraesCS3D03G0235600,TraesCS3D03G0292400,TraesCS3D03G0400200,TraesCS4D03G0239400,TraesCS4D03G0732800,TraesCS5A03G0432900,TraesCS5A03G0577000,TraesCS5D03G0438700,TraesCS6A03G0347500,TraesCS6A03G0715100,TraesCS6B03G0446800,TraesCS6D03G0742700,TraesCS7A03G0403400,TraesCS7A03G0494000,TraesCS7D03G0208800",6.18E-16,GO:BP,TRUE,TraesCS1A03G0290300
3,GO:2001141,regulation of RNA biosynthetic process,"TraesCS1A03G0201700,TraesCS1A03G0290300,TraesCS1A03G0761500,TraesCS1B03G0350100,TraesCS1D03G0166900,TraesCS1D03G0718600,TraesCS2A03G0210300,TraesCS2A03G0672700,TraesCS2A03G0940500,TraesCS2A03G1140700,TraesCS2B03G0480700,TraesCS2B03G0505700,TraesCS2B03G0726400,TraesCS2B03G1063400,TraesCS2B03G1109900,TraesCS2D03G0397500,TraesCS2D03G0881400,TraesCS2D03G0935500,TraesCS2D03G1042000,TraesCS3B03G0374100,TraesCS3B03G0951200,TraesCS3D03G0235600,TraesCS3D03G0292400,TraesCS3D03G0400200,TraesCS4D03G0239400,TraesCS4D03G0732800,TraesCS5A03G0432900,TraesCS5A03G0577000,TraesCS5D03G0438700,TraesCS6A03G0347500,TraesCS6A03G0715100,TraesCS6B03G0446800,TraesCS6D03G0742700,TraesCS7A03G0403400,TraesCS7A03G0494000,TraesCS7D03G0208800",6.18E-16,GO:BP,TRUE,TraesCS1A03G0761500
4,GO:2001141,regulation of RNA biosynthetic process,"TraesCS1A03G0201700,TraesCS1A03G0290300,TraesCS1A03G0761500,TraesCS1B03G0350100,TraesCS1D03G0166900,TraesCS1D03G0718600,TraesCS2A03G0210300,TraesCS2A03G0672700,TraesCS2A03G0940500,TraesCS2A03G1140700,TraesCS2B03G0480700,TraesCS2B03G0505700,TraesCS2B03G0726400,TraesCS2B03G1063400,TraesCS2B03G1109900,TraesCS2D03G0397500,TraesCS2D03G0881400,TraesCS2D03G0935500,TraesCS2D03G1042000,TraesCS3B03G0374100,TraesCS3B03G0951200,TraesCS3D03G0235600,TraesCS3D03G0292400,TraesCS3D03G0400200,TraesCS4D03G0239400,TraesCS4D03G0732800,TraesCS5A03G0432900,TraesCS5A03G0577000,TraesCS5D03G0438700,TraesCS6A03G0347500,TraesCS6A03G0715100,TraesCS6B03G0446800,TraesCS6D03G0742700,TraesCS7A03G0403400,TraesCS7A03G0494000,TraesCS7D03G0208800",6.18E-16,GO:BP,TRUE,TraesCS1B03G0350100
5,GO:2001141,regulation of RNA biosynthetic process,"TraesCS1A03G0201700,TraesCS1A03G0290300,TraesCS1A03G0761500,TraesCS1B03G0350100,TraesCS1D03G0166900,TraesCS1D03G0718600,TraesCS2A03G0210300,TraesCS2A03G0672700,TraesCS2A03G0940500,TraesCS2A03G1140700,TraesCS2B03G0480700,TraesCS2B03G0505700,TraesCS2B03G0726400,TraesCS2B03G1063400,TraesCS2B03G1109900,TraesCS2D03G0397500,TraesCS2D03G0881400,TraesCS2D03G0935500,TraesCS2D03G1042000,TraesCS3B03G0374100,TraesCS3B03G0951200,TraesCS3D03G0235600,TraesCS3D03G0292400,TraesCS3D03G0400200,TraesCS4D03G0239400,TraesCS4D03G0732800,TraesCS5A03G0432900,TraesCS5A03G0577000,TraesCS5D03G0438700,TraesCS6A03G0347500,TraesCS6A03G0715100,TraesCS6B03G0446800,TraesCS6D03G0742700,TraesCS7A03G0403400,TraesCS7A03G0494000,TraesCS7D03G0208800",6.18E-16,GO:BP,TRUE,TraesCS1D03G0166900
6,GO:2001141,regulation of RNA biosynthetic process,"TraesCS1A03G0201700,TraesCS1A03G0290300,TraesCS1A03G0761500,TraesCS1B03G0350100,TraesCS1D03G0166900,TraesCS1D03G0718600,TraesCS2A03G0210300,TraesCS2A03G0672700,TraesCS2A03G0940500,TraesCS2A03G1140700,TraesCS2B03G0480700,TraesCS2B03G0505700,TraesCS2B03G0726400,TraesCS2B03G1063400,TraesCS2B03G1109900,TraesCS2D03G0397500,TraesCS2D03G0881400,TraesCS2D03G0935500,TraesCS2D03G1042000,TraesCS3B03G0374100,TraesCS3B03G0951200,TraesCS3D03G0235600,TraesCS3D03G0292400,TraesCS3D03G0400200,TraesCS4D03G0239400,TraesCS4D03G0732800,TraesCS5A03G0432900,TraesCS5A03G0577000,TraesCS5D03G0438700,TraesCS6A03G0347500,TraesCS6A03G0715100,TraesCS6B03G0446800,TraesCS6D03G0742700,TraesCS7A03G0403400,TraesCS7A03G0494000,TraesCS7D03G0208800",6.18E-16,GO:BP,TRUE,TraesCS1D03G0718600
7,GO:2001141,regulation of RNA biosynthetic process,"TraesCS1A03G0201700,TraesCS1A03G0290300,TraesCS1A03G0761500,TraesCS1B03G0350100,TraesCS1D03G0166900,TraesCS1D03G0718600,TraesCS2A03G0210300,TraesCS2A03G0672700,TraesCS2A03G0940500,TraesCS2A03G1140700,TraesCS2B03G0480700,TraesCS2B03G0505700,TraesCS2B03G0726400,TraesCS2B03G1063400,TraesCS2B03G1109900,TraesCS2D03G0397500,TraesCS2D03G0881400,TraesCS2D03G0935500,TraesCS2D03G1042000,TraesCS3B03G0374100,TraesCS3B03G0951200,TraesCS3D03G0235600,TraesCS3D03G0292400,TraesCS3D03G0400200,TraesCS4D03G0239400,TraesCS4D03G0732800,TraesCS5A03G0432900,TraesCS5A03G0577000,TraesCS5D03G0438700,TraesCS6A03G0347500,TraesCS6A03G0715100,TraesCS6B03G0446800,TraesCS6D03G0742700,TraesCS7A03G0403400,TraesCS7A03G0494000,TraesCS7D03G0208800",6.18E-16,GO:BP,TRUE,TraesCS2A03G0210300
8,GO:2001141,regulation of RNA biosynthetic process,"TraesCS1A03G0201700,TraesCS1A03G0290300,TraesCS1A03G0761500,TraesCS1B03G0350100,TraesCS1D03G0166900,TraesCS1D03G0718600,TraesCS2A03G0210300,TraesCS2A03G0672700,TraesCS2A03G0940500,TraesCS2A03G1140700,TraesCS2B03G0480700,TraesCS2B03G0505700,TraesCS2B03G0726400,TraesCS2B03G1063400,TraesCS2B03G1109900,TraesCS2D03G0397500,TraesCS2D03G0881400,TraesCS2D03G0935500,TraesCS2D03G1042000,TraesCS3B03G0374100,TraesCS3B03G0951200,TraesCS3D03G0235600,TraesCS3D03G0292400,TraesCS3D03G0400200,TraesCS4D03G0239400,TraesCS4D03G0732800,TraesCS5A03G0432900,TraesCS5A03G0577000,TraesCS5D03G0438700,TraesCS6A03G0347500,TraesCS6A03G0715100,TraesCS6B03G0446800,TraesCS6D03G0742700,TraesCS7A03G0403400,TraesCS7A03G0494000,TraesCS7D03G0208800",6.18E-16,GO:BP,TRUE,TraesCS2A03G0672700
9,GO:2001141,regulation of RNA biosynthetic process,"TraesCS1A03G0201700,TraesCS1A03G0290300,TraesCS1A03G0761500,TraesCS1B03G0350100,TraesCS1D03G0166900,TraesCS1D03G0718600,TraesCS2A03G0210300,TraesCS2A03G0672700,TraesCS2A03G0940500,TraesCS2A03G1140700,TraesCS2B03G0480700,TraesCS2B03G0505700,TraesCS2B03G0726400,TraesCS2B03G1063400,TraesCS2B03G1109900,TraesCS2D03G0397500,TraesCS2D03G0881400,TraesCS2D03G0935500,TraesCS2D03G1042000,TraesCS3B03G0374100,TraesCS3B03G0951200,TraesCS3D03G0235600,TraesCS3D03G0292400,TraesCS3D03G0400200,TraesCS4D03G0239400,TraesCS4D03G0732800,TraesCS5A03G0432900,TraesCS5A03G0577000,TraesCS5D03G0438700,TraesCS6A03G0347500,TraesCS6A03G0715100,TraesCS6B03G0446800,TraesCS6D03G0742700,TraesCS7A03G0403400,TraesCS7A03G0494000,TraesCS7D03G0208800",6.18E-16,GO:BP,TRUE,TraesCS2A03G0940500
10,GO:2001141,regulation of RNA biosynthetic process,"TraesCS1A03G0201700,TraesCS1A03G0290300,TraesCS1A03G0761500,TraesCS1B03G0350100,TraesCS1D03G0166900,TraesCS1D03G0718600,TraesCS2A03G0210300,TraesCS2A03G0672700,TraesCS2A03G0940500,TraesCS2A03G1140700,TraesCS2B03G0480700,TraesCS2B03G0505700,TraesCS2B03G0726400,TraesCS2B03G1063400,TraesCS2B03G1109900,TraesCS2D03G0397500,TraesCS2D03G0881400,TraesCS2D03G0935500,TraesCS2D03G1042000,TraesCS3B03G0374100,TraesCS3B03G0951200,TraesCS3D03G0235600,TraesCS3D03G0292400,TraesCS3D03G0400200,TraesCS4D03G0239400,TraesCS4D03G0732800,TraesCS5A03G0432900,TraesCS5A03G0577000,TraesCS5D03G0438700,TraesCS6A03G0347500,TraesCS6A03G0715100,TraesCS6B03G0446800,TraesCS6D03G0742700,TraesCS7A03G0403400,TraesCS7A03G0494000,TraesCS7D03G0208800",6.18E-16,GO:BP,TRUE,TraesCS2A03G1140700
