pmid,gene_id,gene_text,title,journal
25687296,838105,SHN1,Isolation and molecular characterization of a novel WIN1/SHN1 ethylene-responsive transcription factor TdSHN1 from durum wheat (Triticum turgidum. L. subsp. durum).,Protoplasma. 2015 Nov
25687296,830989,SHN2,Isolation and molecular characterization of a novel WIN1/SHN1 ethylene-responsive transcription factor TdSHN1 from durum wheat (Triticum turgidum. L. subsp. durum).,Protoplasma. 2015 Nov
25687296,832611,SHN3,Isolation and molecular characterization of a novel WIN1/SHN1 ethylene-responsive transcription factor TdSHN1 from durum wheat (Triticum turgidum. L. subsp. durum).,Protoplasma. 2015 Nov
25703105,815994,lipid transfer protein,A wheat lipid transfer protein (TdLTP4) promotes tolerance to abiotic and biotic stress in Arabidopsis thaliana.,Plant Physiol Biochem. 2015 Apr
25869057,2752,glutamine synthetase,Gene expression and physiological responses to salinity and water stress of contrasting durum wheat genotypes.,J Integr Plant Biol. 2016 Jan
29065389,22858,serine/threonine protein kinase,"Td4IN2: A drought-responsive durum wheat (Triticum durum Desf.) gene coding for a resistance like protein with serine/threonine protein kinase, nucleotide binding site and leucine rich domains.",Plant Physiol Biochem. 2017 Nov
33594480,836626,annexin,"The durum wheat annexin, TdAnn6, improves salt and osmotic stress tolerance in Arabidopsis via modulation of antioxidant machinery.",Protoplasma. 2021 Sep
36201982,815949,AtPR-1,Overexpression of durum wheat NAC transcription factor TtNTL3A promotes early flowering and increases multiple stress tolerance in transgenic Arabidopsis.,Plant Physiol Biochem. 2022 Sep 30
36201982,842733,AtNPR1,Overexpression of durum wheat NAC transcription factor TtNTL3A promotes early flowering and increases multiple stress tolerance in transgenic Arabidopsis.,Plant Physiol Biochem. 2022 Sep 30
39098916,100415841,ascorbate peroxidase,Physiological and antioxidant responses of synthetic hexaploid wheat germplasm under drought.,BMC Plant Biol
39098916,543190,catalase,Physiological and antioxidant responses of synthetic hexaploid wheat germplasm under drought.,BMC Plant Biol
39098916,543313,peroxidase,Physiological and antioxidant responses of synthetic hexaploid wheat germplasm under drought.,BMC Plant Biol
40373655,4487,HYD1,Pyramiding of mutations in lycopene e-cyclase and b-hydroxylase 1 increases b-carotene content and modifies carotenoid metabolism in durum wheat.,
40536637,100037599,WRKY,Identification of the Q-type ZFP gene family in Triticeaes and drought stress expression analysis in common wheat.,Genetica
40536637,543190,CAT,Identification of the Q-type ZFP gene family in Triticeaes and drought stress expression analysis in common wheat.,Genetica
22531790,542792,Wdhn13,Variation in abscisic acid responsiveness of Aegilops tauschii and hexaploid wheat synthetics due to the D-genome diversity.,Genes Genet Syst. 2012
29075873,1729,DRF1,B genome specific polymorphism in the TdDRF1 gene is in relationship with grain yield.,Planta. 2018 Feb
