pmid,gene_id,gene_text,title,journal
10550893,818741,ERD15,The plant-growth-promoting rhizobacterium Paenibacillus polymyxa induces changes in Arabidopsis thaliana gene expression: a possible connection between biotic and abiotic stress responses.,Mol Plant Microbe Interact. 1999 Nov
11050171,823457,aldehyde oxidase 3,The Arabidopsis aldehyde oxidase 3 (AAO3) gene product catalyzes the final step in abscisic acid biosynthesis in leaves.,Proc Natl Acad Sci U S A. 2000 Nov 7
11050171,817257,AAO3,The Arabidopsis aldehyde oxidase 3 (AAO3) gene product catalyzes the final step in abscisic acid biosynthesis in leaves.,Proc Natl Acad Sci U S A. 2000 Nov 7
11050171,832221,aldehyde oxidase,The Arabidopsis aldehyde oxidase 3 (AAO3) gene product catalyzes the final step in abscisic acid biosynthesis in leaves.,Proc Natl Acad Sci U S A. 2000 Nov 7
11050171,839488,AAO4,The Arabidopsis aldehyde oxidase 3 (AAO3) gene product catalyzes the final step in abscisic acid biosynthesis in leaves.,Proc Natl Acad Sci U S A. 2000 Nov 7
11089677,827744,frs1,"A freezing-sensitive mutant of Arabidopsis, frs1, is a new aba3 allele.",Planta. 2000 Oct
11089677,838224,aba3,"A freezing-sensitive mutant of Arabidopsis, frs1, is a new aba3 allele.",Planta. 2000 Oct
11148283,837498,HYL1,"A mutation in the Arabidopsis HYL1 gene encoding a dsRNA binding protein affects responses to abscisic acid, auxin, and cytokinin.",Plant Cell. 2000 Dec
11387979,828652,DREB1A,"Improving plant drought, salt and freezing tolerance by gene transfer of a single stress-inducible transcription factor.",Novartis Found Symp. 2001
11387979,835307,rd29A,"Improving plant drought, salt and freezing tolerance by gene transfer of a single stress-inducible transcription factor.",Novartis Found Symp. 2001
11525733,815840,ABH1,"An mRNA cap binding protein, ABH1, modulates early abscisic acid signal transduction in Arabidopsis.",Cell. 2001 Aug 24
11532178,820667,9-cis-epoxycarotenoid dioxygenase,"Regulation of drought tolerance by gene manipulation of 9-cis-epoxycarotenoid dioxygenase, a key enzyme in abscisic acid biosynthesis in Arabidopsis.",Plant J. 2001 Aug
11549764,838224,LOS5,The Arabidopsis LOS5/ABA3 locus encodes a molybdenum cofactor sulfurase and modulates cold stress- and osmotic stress-responsive gene expression.,Plant Cell. 2001 Sep
11549764,835307,RD29A,The Arabidopsis LOS5/ABA3 locus encodes a molybdenum cofactor sulfurase and modulates cold stress- and osmotic stress-responsive gene expression.,Plant Cell. 2001 Sep
11549764,818854,COR15,The Arabidopsis LOS5/ABA3 locus encodes a molybdenum cofactor sulfurase and modulates cold stress- and osmotic stress-responsive gene expression.,Plant Cell. 2001 Sep
11549764,838632,COR47,The Arabidopsis LOS5/ABA3 locus encodes a molybdenum cofactor sulfurase and modulates cold stress- and osmotic stress-responsive gene expression.,Plant Cell. 2001 Sep
11549764,832636,RD22,The Arabidopsis LOS5/ABA3 locus encodes a molybdenum cofactor sulfurase and modulates cold stress- and osmotic stress-responsive gene expression.,Plant Cell. 2001 Sep
11549764,836838,aba1,The Arabidopsis LOS5/ABA3 locus encodes a molybdenum cofactor sulfurase and modulates cold stress- and osmotic stress-responsive gene expression.,Plant Cell. 2001 Sep
11549764,832221,aldehyde oxidase,The Arabidopsis LOS5/ABA3 locus encodes a molybdenum cofactor sulfurase and modulates cold stress- and osmotic stress-responsive gene expression.,Plant Cell. 2001 Sep
11576425,831076,At-HSP17.6A,"At-HSP17.6A, encoding a small heat-shock protein in Arabidopsis, can enhance osmotolerance upon overexpression.",Plant J. 2001 Sep
11576425,843369,at,"At-HSP17.6A, encoding a small heat-shock protein in Arabidopsis, can enhance osmotolerance upon overexpression.",Plant J. 2001 Sep
11846875,819331,"AtGolS1, 2 and 3",Important roles of drought- and cold-inducible genes for galactinol synthase in stress tolerance in Arabidopsis thaliana.,Plant J. 2002 Feb
11846875,842114,"AtGolS1, 2 and 3",Important roles of drought- and cold-inducible genes for galactinol synthase in stress tolerance in Arabidopsis thaliana.,Plant J. 2002 Feb
11846875,837457,"AtGolS1, 2 and 3",Important roles of drought- and cold-inducible genes for galactinol synthase in stress tolerance in Arabidopsis thaliana.,Plant J. 2002 Feb
11884679,829547,ABF3,Arabidopsis basic leucine zipper proteins that mediate stress-responsive abscisic acid signaling.,Plant Cell. 2002 Feb
11884679,821463,ABF4,Arabidopsis basic leucine zipper proteins that mediate stress-responsive abscisic acid signaling.,Plant Cell. 2002 Feb
12018849,820288,omega-3 fatty acid desaturase,Antisense expression of an Arabidopsis omega-3 fatty acid desaturase gene reduces salt/drought tolerance in transgenic tobacco plants.,Mol Cells. 2002 Apr 30
12065416,816775,ATHB6,Homeodomain protein ATHB6 is a target of the protein phosphatase ABI1 and regulates hormone responses in Arabidopsis.,EMBO J. 2002 Jun 17
12065416,828714,ABI1,Homeodomain protein ATHB6 is a target of the protein phosphatase ABI1 and regulates hormone responses in Arabidopsis.,EMBO J. 2002 Jun 17
12065416,835809,protein phosphatase 2C,Homeodomain protein ATHB6 is a target of the protein phosphatase ABI1 and regulates hormone responses in Arabidopsis.,EMBO J. 2002 Jun 17
12139005,26386,DNA-binding protein,Identification and mapping of a putative stress response regulator gene in barley.,Plant Mol Biol. 2002 Sep
12148528,818854,cor15a,Light signalling mediated by phytochrome plays an important role in cold-induced gene expression through the C-repeat/dehydration responsive element (C/DRE) in Arabidopsis thaliana.,Plant J. 2002 Mar
12148528,837583,protein phosphatase 2A,Light signalling mediated by phytochrome plays an important role in cold-induced gene expression through the C-repeat/dehydration responsive element (C/DRE) in Arabidopsis thaliana.,Plant J. 2002 Mar
12148528,837483,phyA,Light signalling mediated by phytochrome plays an important role in cold-induced gene expression through the C-repeat/dehydration responsive element (C/DRE) in Arabidopsis thaliana.,Plant J. 2002 Mar
12148528,816394,phyB,Light signalling mediated by phytochrome plays an important role in cold-induced gene expression through the C-repeat/dehydration responsive element (C/DRE) in Arabidopsis thaliana.,Plant J. 2002 Mar
12148528,828653,"CBF1, 2, and 3",Light signalling mediated by phytochrome plays an important role in cold-induced gene expression through the C-repeat/dehydration responsive element (C/DRE) in Arabidopsis thaliana.,Plant J. 2002 Mar
12148528,828651,"CBF1, 2, and 3",Light signalling mediated by phytochrome plays an important role in cold-induced gene expression through the C-repeat/dehydration responsive element (C/DRE) in Arabidopsis thaliana.,Plant J. 2002 Mar
12148528,828652,"CBF1, 2, and 3",Light signalling mediated by phytochrome plays an important role in cold-induced gene expression through the C-repeat/dehydration responsive element (C/DRE) in Arabidopsis thaliana.,Plant J. 2002 Mar
12207667,844174,GST8,"Drought regulation of GST8, encoding the Arabidopsis homologue of ParC/Nt107 glutathione transferase/peroxidase.",Physiol Plant. 2002 Sep
12207667,835307,RD29A and B,"Drought regulation of GST8, encoding the Arabidopsis homologue of ParC/Nt107 glutathione transferase/peroxidase.",Physiol Plant. 2002 Sep
