pmid,gene_id,gene_text,title,journal
10739953,852308,GAL1,Expression of plant group 2 and group 3 lea genes in Saccharomyces cerevisiae revealed functional divergence among LEA proteins.,J Biochem. 2000 Apr
12081371,843793,"AtHVA22a, b, c, d and e","AtHVA22 gene family in Arabidopsis: phylogenetic relationship, ABA and stress regulation, and tissue-specific expression.",Plant Mol Biol. 2002 Aug
12081371,828598,AtHVA22d and e,"AtHVA22 gene family in Arabidopsis: phylogenetic relationship, ABA and stress regulation, and tissue-specific expression.",Plant Mol Biol. 2002 Aug
12081371,843306,AtHVA22c,"AtHVA22 gene family in Arabidopsis: phylogenetic relationship, ABA and stress regulation, and tissue-specific expression.",Plant Mol Biol. 2002 Aug
12081371,836369,AtHVA22b,"AtHVA22 gene family in Arabidopsis: phylogenetic relationship, ABA and stress regulation, and tissue-specific expression.",Plant Mol Biol. 2002 Aug
12139005,26386,DNA-binding protein,Identification and mapping of a putative stress response regulator gene in barley.,Plant Mol Biol. 2002 Sep
15169933,778373,aquaporin,Overexpression of the barley aquaporin HvPIP2;1 increases internal CO(2) conductance and CO(2) assimilation in the leaves of transgenic rice plants.,Plant Cell Physiol. 2004 May
15169933,732667,HvPIP2;1,Overexpression of the barley aquaporin HvPIP2;1 increases internal CO(2) conductance and CO(2) assimilation in the leaves of transgenic rice plants.,Plant Cell Physiol. 2004 May
18433415,606370,Wabi5,Positive role of a wheat HvABI5 ortholog in abiotic stress response of seedlings.,Physiol Plant. 2008 Sep
18433415,542792,Wdhn13,Positive role of a wheat HvABI5 ortholog in abiotic stress response of seedlings.,Physiol Plant. 2008 Sep
18433415,542804,Wrab18,Positive role of a wheat HvABI5 ortholog in abiotic stress response of seedlings.,Physiol Plant. 2008 Sep
18433415,542854,Wrab19,Positive role of a wheat HvABI5 ortholog in abiotic stress response of seedlings.,Physiol Plant. 2008 Sep
18481058,881272,PA5021,Potassium and sodium transporters of Pseudomonas aeruginosa regulate virulence to barley.,Appl Microbiol Biotechnol. 2008 Jul
19067111,100526755,dehydration-responsive element binding protein 1,Isolation and functional characterization of HvDREB1-a gene encoding a dehydration-responsive element binding protein in Hordeum vulgare.,J Plant Res. 2009 Jan
19067111,835307,RD29A,Isolation and functional characterization of HvDREB1-a gene encoding a dehydration-responsive element binding protein in Hordeum vulgare.,J Plant Res. 2009 Jan
19561048,100127238,calcium-dependent protein kinase,Differentially expressed genes between drought-tolerant and drought-sensitive barley genotypes in response to drought stress during the reproductive stage.,J Exp Bot. 2009
19561048,732671,glutathione S-transferase,Differentially expressed genes between drought-tolerant and drought-sensitive barley genotypes in response to drought stress during the reproductive stage.,J Exp Bot. 2009
20642740,542373,Rab17,Improvement of stress tolerance of wheat and barley by modulation of expression of DREB/CBF factors.,Plant Biotechnol J. 2011 Feb
21459832,606325,TaNAC69,Overexpression of TaNAC69 leads to enhanced transcript levels of stress up-regulated genes and dehydration tolerance in bread wheat.,Mol Plant. 2011 Jul
21459832,837731,glyoxalase I,Overexpression of TaNAC69 leads to enhanced transcript levels of stress up-regulated genes and dehydration tolerance in bread wheat.,Mol Plant. 2011 Jul
22160463,835307,rd29A,"Stress-inducible expression of barley Hva1 gene in transgenic mulberry displays enhanced tolerance against drought, salinity and cold stress.",Transgenic Res. 2012 Oct
23364940,834026,Era1,Virus-induced gene silencing of Arabidopsis thaliana gene homologues in wheat identifies genes conferring improved drought tolerance.,J Exp Bot. 2013 Mar
23364940,836519,Sal1,Virus-induced gene silencing of Arabidopsis thaliana gene homologues in wheat identifies genes conferring improved drought tolerance.,J Exp Bot. 2013 Mar
23641183,548143,allene oxide cyclase,Cloning of allene oxide cyclase gene from Leymus mollis and analysis of its expression in wheat-Leymus chromosome addition lines.,Breed Sci. 2013 Mar
24175960,830335,DEMETER,"The study of a barley epigenetic regulator, HvDME, in seed development and under drought.",BMC Plant Biol. 2013 Oct 31
24175960,818224,AtROS1,"The study of a barley epigenetic regulator, HvDME, in seed development and under drought.",BMC Plant Biol. 2013 Oct 31
