pmid,gene_id,gene_text,title,journal
23116679,100825974,monodehydroascorbate reductase,Nucleotide diversity and linkage disequilibrium in antioxidant genes of Brachypodium distachyon.,Plant Sci. 2012 Dec
24913125,830424,DREB2A,LcWRKY5: an unknown function gene from sheepgrass improves drought tolerance in transgenic Arabidopsis.,Plant Cell Rep. 2014 Sep
24913125,835307,RD29A,LcWRKY5: an unknown function gene from sheepgrass improves drought tolerance in transgenic Arabidopsis.,Plant Cell Rep. 2014 Sep
26093023,100829928,PHENYLALANINE AMMONIA LYASE,"Effects of PHENYLALANINE AMMONIA LYASE (PAL) knockdown on cell wall composition, biomass digestibility, and biotic and abiotic stress responses in Brachypodium.",J Exp Bot. 2015 Jul
26232767,100316891,galactinol synthase,Genome-wide identification of galactinol synthase (GolS) genes in Solanum lycopersicum and Brachypodium distachyon.,Comput Biol Chem. 2015 Oct
26232767,544174,SlGolS1,Genome-wide identification of galactinol synthase (GolS) genes in Solanum lycopersicum and Brachypodium distachyon.,Comput Biol Chem. 2015 Oct
26905726,107799583,catalase,Identification of the ASR gene family from Brachypodium distachyon and functional characterization of BdASR1 in response to drought stress.,Plant Cell Rep. 2016 Jun
26905726,107773042,peroxidase,Identification of the ASR gene family from Brachypodium distachyon and functional characterization of BdASR1 in response to drought stress.,Plant Cell Rep. 2016 Jun
27181952,100839867,ubiquitin,"Overexpression of wheat ubiquitin gene, Ta-Ub2, improves abiotic stress tolerance of Brachypodium distachyon.",Plant Sci. 2016 Jul
28567049,104584433,MYB,Quantitative Trait Loci Associated with Drought Tolerance in Brachypodium distachyon.,Front Plant Sci. 2017 May 17
30919915,826884,AtNUDX7,"Functional analysis of Arabidopsis and maize transgenic lines overexpressing the ADP-ribose/NADH pyrophosphohydrolase, AtNUDX7.",Int J Dev Biol. 2019
31737015,837602,CER1,Expression Analysis and Functional Characterization of CER1 Family Genes Involved in Very-Long-Chain Alkanes Biosynthesis in Brachypodium distachyon.,Front Plant Sci. 2019 Nov 1
32123996,100841651,alpha-mannosidase,Overexpression of wheat alpha-mannosidase gene TaMP impairs salt tolerance in transgenic Brachypodium distachyon.,Plant Cell Rep. 2020 May
36264121,820816,phospholipase Dalpha1,A stress-inducible protein regulates drought tolerance and flowering time in Brachypodium and Arabidopsis.,Plant Physiol. 2023 Jan 2
36566287,6647,superoxide dismutase,The Aux/IAA protein TaIAA15-1A confers drought tolerance in Brachypodium by regulating abscisic acid signal pathway.,Plant Cell Rep. 2023 Feb
36566287,847,catalase,The Aux/IAA protein TaIAA15-1A confers drought tolerance in Brachypodium by regulating abscisic acid signal pathway.,Plant Cell Rep. 2023 Feb
36842335,838452,PYL9,Identification of Pyrabactin resistance 1-like (PYL) genes in Brachypodium distachyon and functional characterization of BdPYL5.,J Plant Physiol. 2023 Apr
