pmid,gene_id,gene_text,title,journal
23178482,803183,psbA,Alginate oligosaccharides enhanced Triticum aestivum L. tolerance to drought stress.,Plant Physiol Biochem. 2013 Jan
23178482,542823,Pyrroline-5-Carboxylate Synthetase,Alginate oligosaccharides enhanced Triticum aestivum L. tolerance to drought stress.,Plant Physiol Biochem. 2013 Jan
26884722,835307,RD29A,Wheat Transcription Factor TaAREB3 Participates in Drought and Freezing Tolerances in Arabidopsis.,Int J Biol Sci. 2016 Jan 1
26884722,835306,RD29B,Wheat Transcription Factor TaAREB3 Participates in Drought and Freezing Tolerances in Arabidopsis.,Int J Biol Sci. 2016 Jan 1
26884722,818854,COR15A,Wheat Transcription Factor TaAREB3 Participates in Drought and Freezing Tolerances in Arabidopsis.,Int J Biol Sci. 2016 Jan 1
26884722,838632,COR47,Wheat Transcription Factor TaAREB3 Participates in Drought and Freezing Tolerances in Arabidopsis.,Int J Biol Sci. 2016 Jan 1
30842265,780624,BRI1,BES/BZR Transcription Factor TaBZR2 Positively Regulates Drought Responses by Activation of TaGST1.,Plant Physiol. 2019 May
30987595,818566,P5CS1,"MYB-CC transcription factor, TaMYBsm3, cloned from wheat is involved in drought tolerance.",BMC Plant Biol. 2019 Apr 15
30987595,830424,DREB2A,"MYB-CC transcription factor, TaMYBsm3, cloned from wheat is involved in drought tolerance.",BMC Plant Biol. 2019 Apr 15
30987595,835307,RD29A,"MYB-CC transcription factor, TaMYBsm3, cloned from wheat is involved in drought tolerance.",BMC Plant Biol. 2019 Apr 15
31666006,819567,GAPC,TaWRKY40 transcription factor positively regulate the expression of TaGAPC1 to enhance drought tolerance.,BMC Genomics. 2019 Oct 30
32065246,834623,DELAY OF GERMINATION 1,Wheat PP2C-a10 regulates seed germination and drought tolerance in transgenic Arabidopsis.,Plant Cell Rep. 2020 May
34618056,542780,chitinase,Transcription factor BZR2 activates chitinase Cht20.2 transcription to confer resistance to wheat stripe rust.,Plant Physiol. 2021 Dec 4
34793983,6622,NAC,Variation in cis-regulation of a NAC transcription factor contributes to drought tolerance in wheat.,Mol Plant. 2022 Feb 7
34793983,4602,MYB,Variation in cis-regulation of a NAC transcription factor contributes to drought tolerance in wheat.,Mol Plant. 2022 Feb 7
35246579,100049020,DREB3,Expression profiling of TaARGOS homoeologous drought responsive genes in bread wheat.,Sci Rep. 2022 Mar 4
36352019,543190,CAT,Volatile compounds of Bacillus pseudomycoides induce growth and drought tolerance in wheat (Triticum aestivum L.).,Sci Rep. 2022 Nov 9
