pmid,gene_id,gene_text,title,journal
28831141,819235,GBF3,GBF3 transcription factor imparts drought tolerance in Arabidopsis thaliana.,Sci Rep. 2017 Aug 22
30126870,542120,ZmNHX3,ZmbZIP4 Contributes to Stress Resistance in Maize by Regulating ABA Synthesis and Root Development.,Plant Physiol. 2018 Oct
30126870,542304,ABA1,ZmbZIP4 Contributes to Stress Resistance in Maize by Regulating ABA Synthesis and Root Development.,Plant Physiol. 2018 Oct
30126870,100382261,ZmSCR,ZmbZIP4 Contributes to Stress Resistance in Maize by Regulating ABA Synthesis and Root Development.,Plant Physiol. 2018 Oct
30824033,100280340,bHLH105,The maize bHLH transcription factor bHLH105 confers manganese tolerance in transgenic tobacco.,Plant Sci. 2019 Mar
32161086,542400,gln2,Early Drought-Responsive Genes Are Variable and Relevant to Drought Tolerance.,G3 (Bethesda). 2020 May 4
32161086,542520,gln6,Early Drought-Responsive Genes Are Variable and Relevant to Drought Tolerance.,G3 (Bethesda). 2020 May 4
33597656,835307,RD29A,Overexpression of ZmWRKY65 transcription factor from maize confers stress resistances in transgenic Arabidopsis.,Sci Rep. 2021 Feb 17
33597656,838633,ERD10,Overexpression of ZmWRKY65 transcription factor from maize confers stress resistances in transgenic Arabidopsis.,Sci Rep. 2021 Feb 17
33597656,839666,STZ,Overexpression of ZmWRKY65 transcription factor from maize confers stress resistances in transgenic Arabidopsis.,Sci Rep. 2021 Feb 17
33597656,815949,PR1,Overexpression of ZmWRKY65 transcription factor from maize confers stress resistances in transgenic Arabidopsis.,Sci Rep. 2021 Feb 17
33597656,824893,PR2,Overexpression of ZmWRKY65 transcription factor from maize confers stress resistances in transgenic Arabidopsis.,Sci Rep. 2021 Feb 17
33597656,843842,PR5,Overexpression of ZmWRKY65 transcription factor from maize confers stress resistances in transgenic Arabidopsis.,Sci Rep. 2021 Feb 17
35839657,100283060,ethylene response factor,Overexpression of ZmEREBP60 enhances drought tolerance in maize.,J Plant Physiol. 2022 Aug
37147346,100274012,superoxide dismutase,Characterization of ZmPMP3g function in drought tolerance of maize.,Sci Rep
38575869,837559,mitogen-activated protein kinase,Maize ZmLAZ1-3 gene negatively regulates drought tolerance in transgenic Arabidopsis.,BMC Plant Biol
38945803,28721236,peroxidase,ZmWRKY30 modulates drought tolerance in maize by influencing myo-inositol and reactive oxygen species homeostasis.,Physiol Plant
39112960,6622,NAC,Ultrasonic treatment can improve maize seed germination and abiotic stress resistance.,BMC Plant Biol
39112960,4602,MYB,Ultrasonic treatment can improve maize seed germination and abiotic stress resistance.,BMC Plant Biol
39112960,7020,AP2,Ultrasonic treatment can improve maize seed germination and abiotic stress resistance.,BMC Plant Biol
39279862,28721236,peroxidase,Heterologous expression of the maize transcription factor ZmbHLH36 enhances abiotic stress tolerance in Arabidopsis.,
39574449,820263,MSD1,The maize gene ZmSBP17 encoding an SBP transcription factor confers osmotic resistance in transgenic Arabidopsis.,Front Plant Sci
39574449,837304,ascorbate peroxidase 1,The maize gene ZmSBP17 encoding an SBP transcription factor confers osmotic resistance in transgenic Arabidopsis.,Front Plant Sci
39574449,832773,AtNHX1,The maize gene ZmSBP17 encoding an SBP transcription factor confers osmotic resistance in transgenic Arabidopsis.,Front Plant Sci
39719935,542230,CAT2,Enhancing maize drought and heat tolerance: single vs combined plant growth promoting rhizobacterial inoculation.,Front Plant Sci
39719935,542251,DHN2,Enhancing maize drought and heat tolerance: single vs combined plant growth promoting rhizobacterial inoculation.,Front Plant Sci
39729258,11181,trehalase,Maize drought protection by Azospirillum argentinense Az19 requires bacterial trehalose accumulation.,Appl Microbiol Biotechnol
39819332,103634644,Phylloplanin-like,CRISPR-Cas9-mediated editing of ZmPL1 gene improves tolerance to drought stress in maize.,GM Crops Food
