Gene symbol,Gene name,Synonyms,Chromosome,TAIR Identifier,TAIR Accession,NCBI Identifier,UniProt,Reference,Reference_title,Description,PMID
AtSINA2,SEVEN IN Absentia (SINA),"SINAT6, TRAF-like superfamily protein",3,AT3G13672,2091581,820573,F4JDF6,"Yang, Jin, et al. 2023","Constitutive expression of AtSINA2 from Arabidopsis improves grain yield, seed oil and drought tolerance in transgenic soybean","Overexpression of AtSINA2 in Arabidopsis positively regulated the drought tolerance of transgenic plants. Ectopic expression of AtSINA2 in soybean improved the shoot growth, grain yield, drought tolerance and seed oil content in transgenic plants. Compared to wild type, transgenic soybean produced greater shoot biomass and grain yield, and showed improved seed oil and drought tolerance. Functions as positive regulator of abscisic acid-mediated stomatal closure.",36758291
AtBro1,Endosomal targeting BRO1-like domain-containing protein,-,1,AT1G73390,2206845,843674,Q9FX34,"Mehdi, S. M. M., Szczesniak, M. W., & Ludwików, A. (2023)","The Bro1-like domain-containing protein, AtBro1, modulates growth and abiotic stress responses in Arabidopsis.","AtBro1 transcripts were upregulated by salt, ABA and mannitol stress, while AtBro1-overexpression lines demonstrated robust tolerance to drought and salt stress. Furthermore, we found that ABA elicits stress-resistance responses in loss-of-function bro1-1 mutant plants and AtBro1 regulates drought resistance in Arabidopsis.",37251780
AtADF4,actin depolymerizing factor 4,-,5,AT5G59890,2168063,836111,A0A178UJT7,"Peng, Lu, et al. 2022",CARK3-mediated ADF4 regulates hypocotyl elongation and soil drought stress in Arabidopsis.,"Overexpression of ADF4 markedly enhance drought resistance in soil when compared with WT. On the other hand, drought tolerance analysis showed that overexpression of CARK3 could rescue adf4 drought susceptibility. CARK3 acts as a regulator in hypocotyl elongation and drought tolerance likely via regulating ADF4 phosphorylation.",36618656
AtTPPI,Trehalose-6-phosphate phosphatase I,"Haloacid dehalogenase-like hydrolase (HAD) superfamily protein, T31P16_90",5,AT5G10100,2184063,830874, A0A178UDH6,"Lin, Qingfang, et al. 2020",Arabidopsis thaliana trehalose-6-phosphate phosphatase gene TPPI enhances drought tolerance by regulating stomatal apertures.,"Trehalose-6-phosphate phosphatase which enhances drought tolerance by regulating stomatal apertures. AtTPPI, confers drought resistance and improves WUE by decreasing stomatal apertures and improving root architecture. The reduced expression of AtTPPI caused a drought-sensitive phenotype, while its overexpression significantly increased drought tolerance. Yeast one-hybrid assays showed that ABA-responsive element-binding factor1 (ABF1), ABF2, and ABF4 directly regulated AtTPPI expression.",32242234
AtHUB2,histone mono-ubiquitination 2,E3 ubiquitin-protein ligase BRE1-like 2,1,AT1G55250,2035726,841968,Q9C895 ,"Chen, Hong, et al. 2019",An Arabidopsis E3 ligase HUB 2 increases histone H2B monoubiquitination and enhances drought tolerance in transgenic cotton.,Encodes one of two orthologous E3 ubiquitin ligases in Arabidopsis that are involved in monoubiquitination of histone H2B. AtHUB2 plays a positive role in Arabidopsis under drought stress conditions. AtHUB2 overexpression improves the agricultural traits of transgenic cotton grown in a waterproof shed. AtHUB2 overexpression in cotton enhances drought tolerance and regulates drought stress-related gene expression in the greenhouse. ,30117653
AtSINAL7,seven in absentia like 7 gene,"Protein with RING/U-box and TRAF-like domain, RING-type E3 ubiquitin transferase ",5,AT5G37890,2153754,833768, Q9FKD7,"Peralta, Diego A., et al. 2018","Over-expression of SINAL7 increases biomass and drought tolerance, and also delays senescence in Arabidopsis.","SINAL7 lines had reduced stomatal apertures and showed delayed senescence. Over-expression of SINAL7 greatly improved drought tolerance in Arabidopsis. Over-expression of SINAL7 resulted in an increase in the concentrations of hexoses and sucrose, with a concommitant increase in plant biomass, particularly in the number of rosette leaves and stem thickness.",30003973
MAPKKK18,Mitogen-Activated Protein Kinase Kinase Kinase 18,T7A14.2,1,AT1G05100,2205523,839324,Q9ZVP5,"Li, Yuanyuan, et al. 2017",Arabidopsis MAPKKK18 positively regulates drought stress resistance via downstream MAPKK3.,"Arabidopsis MAPKKK18 enhances drought resistance via accelerating stomatal closure. MAPKKK18 is induced by osmotic stress in an ABA-dependent manner. MAPKK3, a downstream target of MAPKKK18, is a positive regulator in drought stress resistance.",28131829
AtKAI2,KARRIKIN INSENSITIVE 2,"alpha/beta-Hydrolases superfamily protein, F6G17.120",4,AT4G37470,2126357,829902,Q9SZU7 ,"Li, Weiqiang, et al. 2017",The karrikin receptor KAI2 promotes drought resistance in Arabidopsis thaliana.,"KAI2 promotes ABA responses and ABA catabolism. KAI2-mediated signaling positively regulates drought resistance in Arabidopsis. KAI2 is activated through the binding of KARs (or as-yet-unknown KL), resulting in the regulation of downstream genes involved in cuticle formation, stomatal closure, anthocyanin biosynthesis and membrane integrity. ",29131815
AtD14,Dwarf 14," AB hydrolase-1 domain-containing protein, T11I18.10",3,AT3G03990,2095913,819554, Q9SQR3 ,"Li, Weiqiang, et al. 2017",The karrikin receptor KAI2 promotes drought resistance in Arabidopsis thaliana.,"D14 acts as a positive regulator of drought resistance. d14-2 had a higher reduction in biomass than WT in the gravimetric method-based drought-resistance assay. Both D14- and KAI2-mediated signaling pathways may act together, perhaps through MAX2 to enhance drought resistance in Arabidopsis. ",29131815
AtYY1,Yin Yang 1,zinc finger (C2H2 type) family protein,4,AT4G06634 ,,826093,Q2V3L3 ,"Li, Tian, et al. 2016","A dual-function transcription factor, AtYY1, is a novel negative regulator of the Arabidopsis ABA response network.","Binds to ABR1 promoter and promotes its expression, thus negatively regulating the abscisic acid (ABA) signaling pathway. The yy1 mutant was more sensitive to ABA and NaCl than the wild-type, while overexpressing AtYY1 plants were less sensitive. AtYY1 loss also enhanced ABA-induced stomatal closing and drought resistance.",26961720
