Gene symbol,Gene name,Synonyms,Chromosome,NCBI Identifier,RAP Identifier,Oryzabase Trait Gene ID,MSU_Locus tag,NCBI_Locus tag,Reference,Reference_title,Description,PMID
OsWRKY97 ,probable WRKY transcription factor 29,WRKY97,12,9269857,Os12g0116400,9229,LOC_Os12g02420,OSNPB_120116400,"Lv, Miaomiao, et al.2023","OsWRKY97, an Abiotic Stress-Induced Gene of Rice, Plays a Key Role in Drought Tolerance","WRKY DNA binding domain containing protein, Positive regulation of drought tolerance",37765501
OsTZF1,Zinc finger CCCH domain-containing protein 35,"C3H35, OsC3H35, OsCCCH-Zn-3",5,4338037,Os05g0195200,8600,LOC_Os05g10670,OSNPB_050195200,"Huang, Yifeng, et al. 2022",Multifaceted roles of zinc finger proteins in regulating various agronomic traits in rice,"Zinc finger CCCH domain-containing protein 35, Protein DELAY OF THE ONSET OF SENESCENCE-like, CCCH-tandem zinc finger protein, Photomorphogenesis and ABA responses, Abiotic stress tolerance",35958192
OsDST,"Drought and Salt Tolerance gene, zinc finger transcription factor DST, DLN repressor 102, DLN motif protein 102, heat stress-tolerant 1","DST, DLN102, OsDLN102, HST1, OsHST1",3,4334350,Os03g0786400,11731,LOC_Os03g57240,OSNPB_030786400,"Huang, Yifeng, et al. 2022",Multifaceted roles of zinc finger proteins in regulating various agronomic traits in rice.,"C2H2 zinc finger transcription factor, negatively regulating drought and salt tolerance, Stomatal aperture control, Control of leaf width",35958192
OsFLP,FOUR LIPS,FLP,7,4343977,Os07g0627300,16308,LOC_Os07g43420,OSNPB_070627300,"Qu, Xiaoxiao, et al. 2022",A Rice R2R3-Type MYB Transcription Factor OsFLP Positively Regulates Drought Stress Response via OsNAC,"MYB124, R2R3 MYB transcription factor, Regulation of the orientation of guard mother cell (GMC) symmetrical division, drought tolerance, Salt tolerance",35682553
OsHAK1,"Low Cs accumulation, High-affinity Potassium(K+) Transporter 1, Potassium transporter 1","LCS, HAK1",4,4335729,Os04g0401700,8655,LOC_Os04g32920,OSNPB_040401700,"Geng, Anjing, et al. 2024",Molecular Mechanisms and Regulatory Pathways Underlying Drought Stress Response in Rice,"a drought-responsive gene that regulates K+ homeostasis to improve drought resistance in rice, Potassium transporter, Potassium mediated growth, Salt tolerance",38256261
OsEF1A ,"rice elongation factor 1A (eEFIA)-4, rice elongation factor 1A-4, ELONGATION FACTOR 1A, Elongation factor 1-alpha, EF-1-alpha, Eukaryotic elongation factor 1-alpha, elongation factor 1 alpha","RFA4, REFA4, refa4, eEF-1a, OsEF-1a, EF1A, eIF-1-alpha",3,4331811,Os03g0177500,2072,LOC_Os03g08020,OSNPB_030177500,"Gu, Qing, et al. 2023",Eukaryotic Translation Elongation Factor OsEF1A Positively Regulates Drought Tolerance and Yield in Rice,"Eukaryotic translation elongation factor, Positive regulation of drought tolerance, Positive regulation of tillering and yield",37514208
OsMADS23,"MADS box gene23, MADS-box transcription factor 23",MADS-23,8,4345644,Os08g0431900,3090,LOC_Os08g33488,OSNPB_080431900,"Li, Xingxing, et al. 2021",OsMADS23 phosphorylated by SAPK9 confers drought and salt tolerance by regulating ABA biosynthesis in rice,"MADS-box transcription factor 23, Regulation of ABA biosynthesis, Drought and salt tolerance, Osmotic stress tolerance",34343171
OsWRKY55,Rice WRKY gene55,-,3,4332680,Os03g0321700,6569,LOC_Os03g20550,OSNPB_030321700,"Huang, Kai, et al. 2021",Rice Transcription Factor OsWRKY55 Is Involved in the Drought Response and Regulation of Plant Growth,"WRKY transcription factor, Component in the signal transduction pathways of auxin response, drought tolerance, Disease resistance",33919349
OsMLP423,Major latex protein 423,MLP423,4,4336091,Os04g0465600,24887,LOC_Os04g39150,OSNPB_040465600,"Zhou, Zhanmei, et al. 2022",OsMLP423 Is a Positive Regulator of Tolerance to Drought and Salt Stresses in Rice,"Major latex protein, Bet v1 family protein, Positive regulation of drought and salinity tolerance",35807608
OsPM1,"Plasma membrane protein 1, AWPM-19-like protein 1","AWPM-19, PM19, PM1, OsPM-1, OsPM19L1, PM19L1, OsAWPM-19, OsPM19",5,4338635,Os05g0381400,15516,LOC_Os05g31670,OSNPB_050381400,"Wang, Wei, et al. 2021",OsPM1 is a positive regulator of rice tolerance to drought stress but a negative regulator of rice tolerance to salt stress,"AWPM-19-like protein, drought and stress tolerance through ABA-dependent pathway",-
OsCIPK23,"Calcineurin b-like protein-interacting protein kinase 23, CBL-interacting protein kinase 23, Sucrose nonfermenting-1-related protein kinase 3.23","CIPK23, OsSnRK3.23, SnRK3.23",7,4342410,Os07g0150700,7410,LOC_Os07g05620,OSNPB_070150500,"Yang, Wenqiang, et al. 2008",Calcineurin B-like interacting protein kinase OsCIPK23 functions in pollination and drought stress responses in rice (Oryza sativa L.),"Serine/threonine protein kinase, Pollination and drought stress (tolerance) responses, Reguration of potassium uptake by CBL1-CIPK23 complex",18804072
OsFes1A,Hsp70 nucleotide exchange factor Fes1,Armadillo-like helical domain containing protein.,3,4334611,Os03g0822700,25703,LOC_Os03g60780,OSNPB_030822700,"Xu, M., Zhang, M., Tu, Y., & Zhang, X. (2024).",Overexpression of the OsFes1A increased the phytosterols content and enhanced drought and salt stress tolerance in Arabidopsis,"The germination rate of transgenic Arabidopsis was significantly higher than WT under stress (salt, ABA, and drought treatment). In transgenic plants, the average content of campesterol was 17.6% higher than that of WT, and the average content of β-sitosterol reached 923.75 μg/g, with an increase of 1.33-fold.",38319323
OsNAC120,NAC domain-containing protein 120,protein CUP-SHAPED COTYLEDON 1,10,4348901,Os10g0477600,15881,LOC_Os10g33760,OSNPB_100477600,"Xie Z., Jin L., Sun Y., Zhan C., Tang S., Qin T., Liu N., Huang J. 2024",OsNAC120 balances plant growth and drought tolerance by integrating GA and ABA signaling in rice. Negative regulation of drought tolerance by repressing ABA-induced stomatal closure,"knockout of OsNAC120 inhibits plant growth but enhances drought tolerance, whereas OsNAC120 overexpression produces the opposite results.",38148603
OsFAR1,Fatty acyl-CoA reductase 1,-,9,4347887,Os09g0567500,23069,LOC_Os09g39410,OSNPB_090567500,"Guan, Lulu, et al.2023",OsFAR1 is involved in primary fatty alcohol biosynthesis and promotes drought tolerance in rice.,"OsFAR1 was activated by abiotic stresses and abscisic acid, resulting in increased production of primary alcohol in rice. OsFAR1 overexpression lines exhibited reduced cuticle permeability and enhanced drought tolerance in rice and Arabidopsis.",37344696
OsOLP1,Osmotin-like protein 1,PR5,1,4327387,Os01g0839900,23075,LOC_Os01g62260,OSNPB_010839900,"Yan, Jianpei, et al. 2023",OsOLP1 contributes to drought tolerance in rice by regulating ABA biosynthesis and lignin accumulation.,"Transgenic rice plants overexpressing OsOLP1 showed high drought tolerance with leaf water content of up to 65%, and a survival rate of 53.1% by regulating 96% stomatal closure and more than 2.5-fold proline content promotion through the accumulation of 1.5-fold endogenous ABA, and enhancing about 50% lignin synthesis. ",37324705
OsHAD3,Haloacid dehalogenase-like hydrolase 3,"OsHADL, haloacid dehalogenase-like hydrolase",3,4332401,Os03g0273800,24121,LOC_Os03g16670,OSNPB_030273800,"Zan, Xiaofei, et al. 2023","Overexpression of OsHAD3, a Member of HAD Superfamily, Decreases drought tolerance of Rice.","Under drought stress, overexpression of OsHAD3 increases the accumulation of reactive oxygen species and malondialdehyde than wild type. OsHAD3-overexpression lines decreased but antisense-expression lines increased the roots length under drought stress and the transcription levels of many well-known stress-related genes were also changed in plants with different genotypes.",37468664
