pmid,gene_id,gene_text,title,journal
12586876,107810646,TPS,Expression of a bifunctional fusion of the Escherichia coli genes for trehalose-6-phosphate synthase and trehalose-6-phosphate phosphatase in transgenic rice plants increases trehalose accumulation and abiotic stress tolerance without stunting growth.,Plant Physiol. 2003 Feb
12586876,107814858,TPP,Expression of a bifunctional fusion of the Escherichia coli genes for trehalose-6-phosphate synthase and trehalose-6-phosphate phosphatase in transgenic rice plants increases trehalose accumulation and abiotic stress tolerance without stunting growth.,Plant Physiol. 2003 Feb
12609047,828652,DREB1A,"OsDREB genes in rice, Oryza sativa L., encode transcription activators that function in drought-, high-salt- and cold-responsive gene expression.",Plant J. 2003 Feb
15190366,828652,DREB1A,Stress-induced expression in wheat of the Arabidopsis thaliana DREB1A gene delays water stress symptoms under greenhouse conditions.,Genome. 2004 Jun
15190366,835307,rd29A,Stress-induced expression in wheat of the Arabidopsis thaliana DREB1A gene delays water stress symptoms under greenhouse conditions.,Genome. 2004 Jun
15356330,541957,DREB1,Cloning and functional analysis of a novel DREB1/CBF transcription factor involved in cold-responsive gene expression in Zea mays L.,Plant Cell Physiol. 2004 Aug
15356330,828652,DREB1A,Cloning and functional analysis of a novel DREB1/CBF transcription factor involved in cold-responsive gene expression in Zea mays L.,Plant Cell Physiol. 2004 Aug
15359131,828653,DREB1b,"Ectopic expression of a cold-inducible transcription factor, CBF1/DREB1b, in transgenic rice (Oryza sativa L.).",Mol Cells. 2004 Aug 31
15359131,828782,lip5,"Ectopic expression of a cold-inducible transcription factor, CBF1/DREB1b, in transgenic rice (Oryza sativa L.).",Mol Cells. 2004 Aug 31
16614820,828652,DREB1A,Functional and phylogenetic analysis of a DREB/CBF-like gene in perennial ryegrass (Lolium perenne L.).,Planta. 2006 Sep
16614820,818854,COR15a,Functional and phylogenetic analysis of a DREB/CBF-like gene in perennial ryegrass (Lolium perenne L.).,Planta. 2006 Sep
16614820,835307,RD29A,Functional and phylogenetic analysis of a DREB/CBF-like gene in perennial ryegrass (Lolium perenne L.).,Planta. 2006 Sep
16667159,29141362,psaB,Effects of cold-treatment on protein synthesis and mRNA levels in rice leaves.,Plant Physiol. 1989 Nov
17133769,29141328,Psb A,Isolation of stress responsive Psb A gene from rice (Oryza sativa l.) using differential display.,Indian J Biochem Biophys. 2006 Aug
17293435,818854,COR15a,"Overexpression of an R1R2R3 MYB gene, OsMYB3R-2, increases tolerance to freezing, drought, and salt stress in transgenic Arabidopsis.",Plant Physiol. 2007 Apr
17293435,819757,RCI2A,"Overexpression of an R1R2R3 MYB gene, OsMYB3R-2, increases tolerance to freezing, drought, and salt stress in transgenic Arabidopsis.",Plant Physiol. 2007 Apr
17690841,827605,BIN2,"T-DNA tagged knockout mutation of rice OsGSK1, an orthologue of Arabidopsis BIN2, with enhanced tolerance to various abiotic stresses.",Plant Mol Biol. 2007 Nov
17881564,818219,HARDY,"Improvement of water use efficiency in rice by expression of HARDY, an Arabidopsis drought and salt tolerance gene.",Proc Natl Acad Sci U S A. 2007 Sep 25
17881564,829845,AP2/ERF-like transcription factor,"Improvement of water use efficiency in rice by expression of HARDY, an Arabidopsis drought and salt tolerance gene.",Proc Natl Acad Sci U S A. 2007 Sep 25
18071708,820506,AtSPO11-1,"Constitutive expression of a meiotic recombination protein gene homolog, OsTOP6A1, from rice confers abiotic stress tolerance in transgenic Arabidopsis plants.",Plant Cell Rep. 2008 Apr
18349516,845178,matK,Identification of drought-responsive genes from maize inbred lines.,Zhi Wu Sheng Li Yu Fen Zi Sheng Wu Xue Xue Bao. 2007 Dec
18349516,100037769,maturase,Identification of drought-responsive genes from maize inbred lines.,Zhi Wu Sheng Li Yu Fen Zi Sheng Wu Xue Xue Bao. 2007 Dec
18433415,606370,Wabi5,Positive role of a wheat HvABI5 ortholog in abiotic stress response of seedlings.,Physiol Plant. 2008 Sep
18433415,542792,Wdhn13,Positive role of a wheat HvABI5 ortholog in abiotic stress response of seedlings.,Physiol Plant. 2008 Sep
18433415,542804,Wrab18,Positive role of a wheat HvABI5 ortholog in abiotic stress response of seedlings.,Physiol Plant. 2008 Sep
18433415,542854,Wrab19,Positive role of a wheat HvABI5 ortholog in abiotic stress response of seedlings.,Physiol Plant. 2008 Sep
18470484,835306,rd29B,"Overexpression of a rice OsDREB1F gene increases salt, drought, and low temperature tolerance in both Arabidopsis and rice.",Plant Mol Biol. 2008 Aug
18470484,840987,RAB18,"Overexpression of a rice OsDREB1F gene increases salt, drought, and low temperature tolerance in both Arabidopsis and rice.",Plant Mol Biol. 2008 Aug
18593528,851869,PMP3,"Characterization of two plasma membrane protein 3 genes (PutPMP3) from the alkali grass, Puccinellia tenuiflora, and functional comparison of the rice homologues, OsLti6a/b from rice.",BMB Rep. 2008 Jun 30
18679687,103430441,Myb4,Osmyb4 expression improves adaptive responses to drought and cold stress in transgenic apples.,Plant Cell Rep. 2008 Oct
18685183,824718,SDIR1,Arabidopsis SDIR1 enhances drought tolerance in crop plants.,Biosci Biotechnol Biochem. 2008 Aug
18700826,842733,AtNPR1,"The Arabidopsis AtNPR1 inversely modulates defense responses against fungal, bacterial, or viral pathogens while conferring hypersensitivity to abiotic stresses in transgenic rice.",Mol Plant Microbe Interact. 2008 Sep
18832187,100794096,AP2,"Phylogeny, gene structures, and expression patterns of the ERF gene family in soybean (Glycine max L.).",J Exp Bot. 2008
18832187,829845,AP2,"Phylogeny, gene structures, and expression patterns of the ERF gene family in soybean (Glycine max L.).",J Exp Bot. 2008
19322663,837602,CER1,Characterization of Glossy1-homologous genes in rice involved in leaf wax accumulation and drought resistance.,Plant Mol Biol. 2009 Jul
20492547,838138,AVP1,Expression of an Arabidopsis vacuolar H+-pyrophosphatase gene (AVP1) in cotton improves drought- and salt tolerance and increases fibre yield in the field conditions.,Plant Biotechnol J. 2011 Jan
20878348,832215,AIP2,"A RING finger E3 ligase gene, Oryza sativa Delayed Seed Germination 1 (OsDSG1), controls seed germination and stress responses in rice.",Plant Mol Biol. 2010 Nov
20878348,822061,ABI3.Yeast,"A RING finger E3 ligase gene, Oryza sativa Delayed Seed Germination 1 (OsDSG1), controls seed germination and stress responses in rice.",Plant Mol Biol. 2010 Nov
21178395,819651,AtWNK1,Rice WNK1 is regulated by abiotic stress and involved in internal circadian rhythm.,Plant Signal Behav. 2011 Mar
21178395,842771,AtWNK10,Rice WNK1 is regulated by abiotic stress and involved in internal circadian rhythm.,Plant Signal Behav. 2011 Mar
21293909,820443,SAP5,Arabidopsis SAP5 functions as a positive regulator of stress responses and exhibits E3 ubiquitin ligase activity.,Plant Mol Biol. 2011 Mar
