pmid,gene_id,gene_text,title,journal
22843236,28717398,DNA binding transcription factor,In silico targeted genome mining and comparative modelling reveals a putative protein similar to an Arabidopsis drought tolerance DNA binding transcription factor in Chromosome 6 of Sorghum bicolor genome.,Interdiscip Sci. 2012 Jun
22843236,829845,AP2,In silico targeted genome mining and comparative modelling reveals a putative protein similar to an Arabidopsis drought tolerance DNA binding transcription factor in Chromosome 6 of Sorghum bicolor genome.,Interdiscip Sci. 2012 Jun
24864043,542140,GT1,Evolutionary history of trihelix family and their functional diversification.,DNA Res. 2014 Oct
24864043,8055927,Sb06g023980,Evolutionary history of trihelix family and their functional diversification.,DNA Res. 2014 Oct
29217270,7099,Toll-like receptor 4,Kafirin from Sorghum bicolor inhibition of inflammation in THP-1 human macrophages is associated with reduction of intracellular reactive oxygen species.,Food Chem Toxicol. 2018 Jan
29217270,3553,IL-1beta,Kafirin from Sorghum bicolor inhibition of inflammation in THP-1 human macrophages is associated with reduction of intracellular reactive oxygen species.,Food Chem Toxicol. 2018 Jan
29217270,3569,IL-6,Kafirin from Sorghum bicolor inhibition of inflammation in THP-1 human macrophages is associated with reduction of intracellular reactive oxygen species.,Food Chem Toxicol. 2018 Jan
29217270,7124,TNF-alpha,Kafirin from Sorghum bicolor inhibition of inflammation in THP-1 human macrophages is associated with reduction of intracellular reactive oxygen species.,Food Chem Toxicol. 2018 Jan
29217270,5970,p65,Kafirin from Sorghum bicolor inhibition of inflammation in THP-1 human macrophages is associated with reduction of intracellular reactive oxygen species.,Food Chem Toxicol. 2018 Jan
29217270,3725,c-JUN,Kafirin from Sorghum bicolor inhibition of inflammation in THP-1 human macrophages is associated with reduction of intracellular reactive oxygen species.,Food Chem Toxicol. 2018 Jan
29312925,606407,CDPK,"Comparative Analysis of CDPK Family in Maize, Arabidopsis, Rice, and Sorghum Revealed Potential Targets for Drought Tolerance Improvement.",Front Chem. 2017 Dec 19
29312925,100381337,MAPK,"Comparative Analysis of CDPK Family in Maize, Arabidopsis, Rice, and Sorghum Revealed Potential Targets for Drought Tolerance Improvement.",Front Chem. 2017 Dec 19
31065486,541904,EXPA1,Isolation and characterization of water-deficit stress-responsive alpha-expansin 1 (EXPA1) gene from Saccharum complex.,3 Biotech. 2019 May
31615416,817173,ERECTA,A leucine-rich repeat-receptor-like kinase gene SbER2-1 from sorghum (Sorghum bicolor L.) confers drought tolerance in maize.,BMC Genomics. 2019 Oct 15
32112957,830064,RD19,"SbWRKY30 enhances the drought tolerance of plants and regulates a drought stress-responsive gene, SbRD19, in sorghum.",J Plant Physiol. 2020 Mar-Apr
35006841,100191122,WRKY,Whole-Transcriptome Responses to Environmental Stresses in Agricultural Crops Treated with Carbon-Based Nanomaterials.,ACS Appl Bio Mater. 2021 May 17
36505298,542352,PR-1,Genome-wide analysis of maize PR-1 gene family and expression profiles induced by plant hormones and fungal phytopathogens.,Am J Transl Res. 2022 Nov 15
39325724,838518,BES1,Untargeted mutagenesis of brassinosteroid receptor SbBRI1 confers drought tolerance by altering phenylpropanoid metabolism in Sorghum bicolor.,Plant Biotechnol J
40177019,28721236,peroxidase,Identification of nuclear factor YA6 genes in sorghum and characterization of their involvement in drought tolerance.,Front Plant Sci
40177019,829661,catalase,Identification of nuclear factor YA6 genes in sorghum and characterization of their involvement in drought tolerance.,Front Plant Sci
40361008,102682070,chitinase,Genome-wide identification of chitinase gene family in Hordeum vulgare: insights into stress response mechanisms and evolutionary dynamics.,BMC Plant Biol
41669364,110435321,alpha-kafirin,Study of the progeny of sorghum mutants obtained using the CRISPR/Cas9 genetic construct directed at inducing mutations in the alpha-kafirin k1C5 gene.,Vavilovskii Zhurnal Genet Selektsii
42252316,8078967,Sb02g037735,Insights into the genetic basis of natural selection and domestication from Sorghum.,Sci Rep
42252316,8054796,Sb02g029450,Insights into the genetic basis of natural selection and domestication from Sorghum.,Sci Rep
