pmid,gene_id,gene_text,title,journal
18685183,824718,SDIR1,Arabidopsis SDIR1 enhances drought tolerance in crop plants.,Biosci Biotechnol Biochem. 2008 Aug
25192890,835274,DREB1D,Overexpression of AtDREB1D transcription factor improves drought tolerance in soybean.,Mol Biol Rep. 2014 Dec
26674968,5007930,miR399f,"A Role for Arabidopsis miR399f in Salt, Drought, and ABA Signaling.",Mol Cells. 2016 Feb
26674968,819332,AtMYB2,"A Role for Arabidopsis miR399f in Salt, Drought, and ABA Signaling.",Mol Cells. 2016 Feb
26674968,829547,ABF3,"A Role for Arabidopsis miR399f in Salt, Drought, and ABA Signaling.",Mol Cells. 2016 Feb
26674968,837455,CSP41b,"A Role for Arabidopsis miR399f in Salt, Drought, and ABA Signaling.",Mol Cells. 2016 Feb
28576847,819248,WRKY46,"Arabidopsis WRKY46, WRKY54, and WRKY70 Transcription Factors Are Involved in Brassinosteroid-Regulated Plant Growth and Drought Responses.",Plant Cell. 2017 Jun
28576847,818670,WRKY54,"Arabidopsis WRKY46, WRKY54, and WRKY70 Transcription Factors Are Involved in Brassinosteroid-Regulated Plant Growth and Drought Responses.",Plant Cell. 2017 Jun
28576847,824807,WRKY70,"Arabidopsis WRKY46, WRKY54, and WRKY70 Transcription Factors Are Involved in Brassinosteroid-Regulated Plant Growth and Drought Responses.",Plant Cell. 2017 Jun
28576847,843845,BRASSINAZOLE-RESISTANT1,"Arabidopsis WRKY46, WRKY54, and WRKY70 Transcription Factors Are Involved in Brassinosteroid-Regulated Plant Growth and Drought Responses.",Plant Cell. 2017 Jun
28576847,838518,BES1,"Arabidopsis WRKY46, WRKY54, and WRKY70 Transcription Factors Are Involved in Brassinosteroid-Regulated Plant Growth and Drought Responses.",Plant Cell. 2017 Jun
28640975,543881,GAI,NAC transcription factor JUNGBRUNNEN1 enhances drought tolerance in tomato.,Plant Biotechnol J. 2018 Feb
28831141,819235,GBF3,GBF3 transcription factor imparts drought tolerance in Arabidopsis thaliana.,Sci Rep. 2017 Aug 22
31038749,829541,OPEN STOMATA 1,Arabidopsis histone H3K4 demethylase JMJ17 functions in dehydration stress response.,New Phytol. 2019 Aug
31147630,829364,Histone AcetylTransferase,Improved drought stress tolerance in Arabidopsis by CRISPR/dCas9 fusion with a Histone AcetylTransferase.,Sci Rep. 2019 May 30
31147630,841095,AREB1,Improved drought stress tolerance in Arabidopsis by CRISPR/dCas9 fusion with a Histone AcetylTransferase.,Sci Rep. 2019 May 30
31147630,824626,histone acetyltransferase 1,Improved drought stress tolerance in Arabidopsis by CRISPR/dCas9 fusion with a Histone AcetylTransferase.,Sci Rep. 2019 May 30
31147630,835307,RD29A,Improved drought stress tolerance in Arabidopsis by CRISPR/dCas9 fusion with a Histone AcetylTransferase.,Sci Rep. 2019 May 30
32242234,844144,trehalose-6-phosphate phosphatase,Arabidopsis thaliana trehalose-6-phosphate phosphatase gene TPPI enhances drought tolerance by regulating stomatal apertures.,J Exp Bot. 2020 Jul 6
32242234,830874,TPPI,Arabidopsis thaliana trehalose-6-phosphate phosphatase gene TPPI enhances drought tolerance by regulating stomatal apertures.,J Exp Bot. 2020 Jul 6
32242234,841395,ABA-responsive element-binding factor1,Arabidopsis thaliana trehalose-6-phosphate phosphatase gene TPPI enhances drought tolerance by regulating stomatal apertures.,J Exp Bot. 2020 Jul 6
