HOG	OG	Gene Tree Parent Clade	Arabidopsis_thaliana	Avena_sativa	Brachypodium_distachyon	Hordeum_vulgare	Oryza_sativa	Sorghum_bicolor	Triticum_aestivum	Triticum_turgidum	Zea_mays
N2.HOG0000000	OG0000002	n16						SORBI_3005G178700, SORBI_3005G178800, SORBI_3006G088400, SORBI_3009G105400, SORBI_3006G088500, SORBI_3005G178950			Zm00001eb082190_P001, Zm00001eb082200_P001, Zm00001eb082210_P002
N2.HOG0000001	OG0000002	n123						SORBI_3002G083500			
N2.HOG0000002	OG0000002	n131						SORBI_3006G088820			
N2.HOG0000003	OG0000002	n132						SORBI_3006G088740			
N2.HOG0000004	OG0000002	n196						SORBI_3007G072100, SORBI_3007G072300			
N2.HOG0000005	OG0000002	n242						SORBI_3007G072600			Zm00001eb171210_P003
N2.HOG0000006	OG0000002	n249						SORBI_3007G072800, SORBI_3007G072901, SORBI_3002G208850			
N2.HOG0000007	OG0000002	n263						SORBI_3001G277300, SORBI_3004G154100, SORBI_3003G189333			
N2.HOG0000008	OG0000002	n305						SORBI_3007G040800			
N2.HOG0000009	OG0000002	n325						SORBI_3005G076800, SORBI_3005G052300			
N2.HOG0000010	OG0000002	n400						SORBI_3005G154700, SORBI_3005G154500			
N2.HOG0000011	OG0000002	n403						SORBI_3005G078700, SORBI_3003G381500			
N2.HOG0000012	OG0000002	n417						SORBI_3009G174600, SORBI_3010G090600, SORBI_3005G019650, SORBI_3005G077800, SORBI_3005G078950, SORBI_3005G079201			
N2.HOG0000013	OG0000002	n425						SORBI_3005G073800, SORBI_3005G074000, SORBI_3005G077900, SORBI_3009G162401, SORBI_3005G073600, SORBI_3005G073700, SORBI_3005G078132, SORBI_3005G078600, SORBI_3005G137700			
N2.HOG0000014	OG0000002	n502						SORBI_3005G165032			
N2.HOG0000015	OG0000002	n516						SORBI_3005G078200, SORBI_3005G110562			
N2.HOG0000016	OG0000002	n583						SORBI_3005G040500, SORBI_3005G079500			
N2.HOG0000017	OG0000002	n600						SORBI_3005G148500			
N2.HOG0000018	OG0000002	n606						SORBI_3005G148400			
N2.HOG0000019	OG0000002	n666						SORBI_3003G184666			
N2.HOG0000020	OG0000002	n686						SORBI_3005G073101			
N2.HOG0000021	OG0000003	n4						SORBI_3003G374600			Zm00001eb146000_P001, Zm00001eb366400_P002
N2.HOG0000022	OG0000003	n18						SORBI_3007G194900			Zm00001eb036470_P001
N2.HOG0000023	OG0000003	n31						SORBI_3001G326600			Zm00001eb050830_P001
N2.HOG0000024	OG0000003	n129						SORBI_3002G061400, SORBI_3002G061100, SORBI_3002G061200, SORBI_3002G061500, SORBI_3002G061300			
N2.HOG0000025	OG0000003	n135						SORBI_3002G059932			Zm00001eb257180_P001, Zm00001eb302240_P001
N2.HOG0000026	OG0000003	n137						SORBI_3006G245200, SORBI_3002G058900, SORBI_3002G059600, SORBI_3002G059100, SORBI_3002G059500, SORBI_3002G059866, SORBI_3002G139000			Zm00001eb301790_P002, Zm00001eb301810_P001, Zm00001eb301840_P001, Zm00001eb301850_P002, Zm00001eb301860_P002, Zm00001eb301870_P001, Zm00001eb301880_P001
N2.HOG0000027	OG0000003	n150						SORBI_3002G089900, SORBI_3003G132700, SORBI_3002G060000, SORBI_3002G060200, SORBI_3006G091850, SORBI_3002G060101			Zm00001eb115740_P002, Zm00001eb116670_P003, Zm00001eb116720_P001
N2.HOG0000028	OG0000003	n164						SORBI_3002G060700, SORBI_3002G060600, SORBI_3002G060400, SORBI_3002G060450, SORBI_3002G060500			
N2.HOG0000029	OG0000003	n260						SORBI_3002G032400			
N2.HOG0000030	OG0000003	n287						SORBI_3001G326500			
N2.HOG0000031	OG0000003	n354						SORBI_3001G191100, SORBI_3001G327000, SORBI_3001G327100			
N2.HOG0000032	OG0000003	n384						SORBI_3001G324000			
N2.HOG0000033	OG0000003	n388						SORBI_3001G323900			
N2.HOG0000034	OG0000003	n397						SORBI_3003G183466			
N2.HOG0000035	OG0000003	n560						SORBI_3009G207500			
N2.HOG0000036	OG0000003	n565						SORBI_3008G056200, SORBI_3008G056600, SORBI_3001G326800, SORBI_3008G056350, SORBI_3001G326700			
N2.HOG0000037	OG0000003	n570						SORBI_3003G066700			
N2.HOG0000038	OG0000003	n656						SORBI_3008G104300			
N2.HOG0000039	OG0000005	n1						SORBI_3009G112400			Zm00001eb346560_P003
N2.HOG0000040	OG0000005	n128						SORBI_3009G111800, SORBI_3009G112000, SORBI_3009G112200			Zm00001eb285670_P001
N2.HOG0000041	OG0000005	n133						SORBI_3002G090600			
N2.HOG0000042	OG0000005	n137						SORBI_3007G114600			
N2.HOG0000043	OG0000005	n300						SORBI_3008G058800			
N2.HOG0000044	OG0000005	n554						SORBI_3005G022700, SORBI_3005G023000, SORBI_3005G023100			
N2.HOG0000045	OG0000006	n2						SORBI_3006G063700, SORBI_3010G061500, SORBI_3002G118500, SORBI_3009G022800, SORBI_3002G108100			
N2.HOG0000046	OG0000006	n319						SORBI_3002G106200			Zm00001eb305010_P001
N2.HOG0000047	OG0000006	n320						SORBI_3002G106600			Zm00001eb305000_P001
N2.HOG0000048	OG0000006	n321						SORBI_3002G108200			Zm00001eb305100_P001, Zm00001eb305110_P001
N2.HOG0000049	OG0000006	n325						SORBI_3002G097100, SORBI_3002G097200, SORBI_3002G097300, SORBI_3002G336400, SORBI_3002G336500, SORBI_3002G016700, SORBI_3009G051400, SORBI_3009G051800, SORBI_3002G015600, SORBI_3002G015900, SORBI_3002G016500, SORBI_3002G100300			
N2.HOG0000050	OG0000006	n339						SORBI_3002G105900, SORBI_3001G269300, SORBI_3001G269501			
N2.HOG0000051	OG0000006	n346						SORBI_3002G106100, SORBI_3004G118300, SORBI_3002G106000			
N2.HOG0000052	OG0000006	n516						SORBI_3002G105000, SORBI_3002G105101			
N2.HOG0000053	OG0000007	n0									Zm00001eb099520_P003
N2.HOG0000054	OG0000008	n1						SORBI_3005G128000			Zm00001eb113900_P002, Zm00001eb271410_P002
N2.HOG0000055	OG0000008	n47						SORBI_3005G154400			
N2.HOG0000056	OG0000008	n53						SORBI_3008G010700, SORBI_3005G192400, SORBI_3005G192100, SORBI_3005G192300, SORBI_3005G193300			Zm00001eb042890_P001
N2.HOG0000057	OG0000008	n60						SORBI_3010G146500			
N2.HOG0000058	OG0000008	n65						SORBI_3008G172900			
N2.HOG0000059	OG0000008	n253						SORBI_3005G223700, SORBI_3005G224000, SORBI_3005G222600, SORBI_3005G222900, SORBI_3005G223450, SORBI_3005G223600, SORBI_3005G223925, SORBI_3005G223775, SORBI_3005G223850, SORBI_3005G224200			
N2.HOG0000060	OG0000008	n489						SORBI_3009G004700			
N2.HOG0000061	OG0000008	n493						SORBI_3005G208000			Zm00001eb117700_P001, Zm00001eb117720_P002
N2.HOG0000062	OG0000008	n495						SORBI_3005G226400			Zm00001eb089490_P001, Zm00001eb418840_P001
N2.HOG0000063	OG0000008	n497						SORBI_3009G049500, SORBI_3009G049600, SORBI_3009G049800			Zm00001eb283200_P001, Zm00001eb419270_P001
N2.HOG0000064	OG0000009	n6						SORBI_3003G208500, SORBI_3009G243000			
N2.HOG0000065	OG0000009	n51						SORBI_3003G207800			Zm00001eb161230_P001
N2.HOG0000066	OG0000009	n69						SORBI_3003G207200			
N2.HOG0000067	OG0000009	n76						SORBI_3003G207300			Zm00001eb357650_P001
N2.HOG0000068	OG0000009	n83						SORBI_3003G207400			
N2.HOG0000069	OG0000009	n185						SORBI_3001G335100, SORBI_3006G022500, SORBI_3008G094800, SORBI_3006G022700			
