Orthogroup	Arabidopsis_thaliana	Avena_sativa	Brachypodium_distachyon	Hordeum_vulgare	Oryza_sativa	Sorghum_bicolor	Triticum_aestivum	Triticum_turgidum	Zea_mays
OG0027222					Os12g0565133				
OG0027223			Bradi3g11583.1.p						
OG0027224		AVESA.00018a.r1.2DG01549640.1							
OG0027225							TraesCS6B03G1009800.1		
OG0027226		AVESA.00018a.r1.2DG01562250.1							
OG0027227								TRITD7Av1G010510.1	
OG0027228							TraesCS7B03G1009200.1		
OG0027229			Bradi1g03555.1.p						
OG0027230								TRITD7Bv1G146210.1	
OG0027231	AT3G28193.1								
OG0027232									Zm00001eb242060_P001
OG0027233		AVESA.00018a.r1.7DG06238730.1							
OG0027234							TraesCS2A03G0629200.1		
OG0027235							TraesCS4D03G0066500.2		
OG0027236					Os02g0325300				
OG0027237			Bradi3g11421.1.p						
OG0027238		AVESA.00018a.r1.6CG04973410.1							
OG0027239			Bradi1g24705.1.p						
OG0027240						SORBI_3005G221250			
OG0027241									Zm00001eb409160_P001
OG0027242					Os08g0200750				
OG0027243		AVESA.00018a.r1.6CG05176990.1							
OG0027244		AVESA.00018a.r1.3CG02333880.1							
OG0027245			Bradi4g07003.1.p						
OG0027246									Zm00001eb022790_P001
OG0027247					Os02g0583200				
OG0027248			Bradi4g10457.1.p						
OG0027249	AT5G22240.1								
OG0027250									Zm00001eb172820_P001
OG0027251					Os10g0379366				
OG0027252							TraesCS6D03G0222900.1		
OG0027253			Bradi4g12011.1.p						
OG0027254						SORBI_3001G513650			
OG0027255						SORBI_3004G149150			
OG0027256							TraesCS4D03G0566200.1		
OG0027257					Os03g0397700				
OG0027258	AT3G22125.3								
OG0027259						SORBI_3002G101900			
OG0027260	AT1G77682.1								
OG0027261									Zm00001eb028240_P001
OG0027262					Os10g0202050				
OG0027263						SORBI_3001G268000			
OG0027264						SORBI_3001G284300			
OG0027265					Os04g0432200				
OG0027266					Os04g0680900				
OG0027267							TraesCS4A03G1187900.1		
OG0027268					Os03g0595800				
OG0027269								TRITD7Bv1G216630.1	
OG0027270		AVESA.00018a.r1.3AG01968510.1							
OG0027271			Bradi4g17131.2.p						
OG0027272		AVESA.00018a.r1.2DG01571770.1							
OG0027273			Bradi3g49305.2.p						
OG0027274					Os11g0433200				
OG0027275	AT5G64240.2								
OG0027276			Bradi4g10158.1.p						
OG0027277						SORBI_3003G099232			
OG0027278	AT5G62998.1								
OG0027279		AVESA.00018a.r1.5AG03695270.1							
OG0027280									Zm00001eb407450_P001
OG0027281									Zm00001eb412540_P001
OG0027282						SORBI_3010G259233			
OG0027283	AT1G21900.1								
OG0027284					Os03g0344166				
OG0027285									Zm00001eb130790_P001
OG0027286							TraesCS7A03G1216000.1		
OG0027287		AVESA.00018a.r1.6DG05368850.1							
OG0027288						SORBI_3010G150600			
OG0027289	AT5G01950.7								
OG0027290									Zm00001eb160450_P002
OG0027291							TraesCS5D03G1047200.1		
OG0027292									Zm00001eb129200_P001
OG0027293		AVESA.00018a.r1.2CG01476580.1							
OG0027294		AVESA.00018a.r1.2AG00924870.1							
OG0027295					Os04g0543250				
OG0027296									Zm00001eb112370_P001
OG0027297								TRITD3Av1G023060.1	
OG0027298						SORBI_3006G240600			
OG0027299	AT4G17590.1								
OG0027300					Os08g0318400				
OG0027301		AVESA.00018a.r1.7CG05809520.1							
OG0027302						SORBI_3001G442400			
OG0027303							TraesCS4A03G0630800.1		
OG0027304					Os08g0519000				
OG0027305							TraesCS1B03G0225900.1		
OG0027306					Os06g0636000				
OG0027307							TraesCS6D03G0214700.2		
OG0027308		AVESA.00018a.r1.6DG05352830.1							
OG0027309								TRITD5Av1G214760.2	
OG0027310								TRITD6Av1G150280.1	
OG0027311					Os07g0149701				
OG0027312					Os09g0331201				
OG0027313									Zm00001eb121670_P001
OG0027314								TRITD2Av1G080470.1	
OG0027315						SORBI_3001G279350			
OG0027316			Bradi5g09041.1.p						
OG0027317		AVESA.00018a.r1.1AG00333970.2							
OG0027318					Os01g0669701				
OG0027319					Os03g0206150				
OG0027320									Zm00001eb172740_P001
OG0027321	AT2G25790.1								
OG0027322									Zm00001eb272590_P001
OG0027323									Zm00001eb269640_P001
OG0027324			Bradi1g28522.1.p						
OG0027325							TraesCS3A03G1072300.1		
OG0027326							TraesCS3A03G0894600.1		
OG0027327								TRITD2Bv1G246090.1	
OG0027328				HORVU.MOREX.r3.6HG0626230.1					
OG0027329			Bradi4g37608.1.p						
OG0027330			Bradi4g32787.1.p						
OG0027331							TraesCS7D03G0396500.1		
OG0027332		AVESA.00018a.r1.2AG00964410.1							
OG0027333	AT1G47270.1								
OG0027334								TRITD7Av1G260140.1	
OG0027335						SORBI_3004G133100			
OG0027336							TraesCS7D03G1255800.1		
OG0027337	AT2G24340.1								
OG0027338					Os06g0192750				
OG0027339		AVESA.00018a.r1.7CG05738400.1							
OG0027340					Os03g0706266				
OG0027341		AVESA.00018a.r1.3CG02058900.1							
OG0027342						SORBI_3005G046400			
OG0027343								TRITD2Bv1G229550.1	
OG0027344							TraesCS5A03G1222200.1		
OG0027345					Os10g0170501				
OG0027346						SORBI_3001G160300			
OG0027347						SORBI_3004G359800			
OG0027348			Bradi2g42508.1.p						
