Orthogroup	Duplications (all)	Duplications (50% support)
OG0000000	1645	1645
OG0000001	727	727
OG0000002	463	431
OG0000003	439	419
OG0000004	569	565
OG0000005	379	360
OG0000006	365	352
OG0000007	496	492
OG0000008	354	328
OG0000009	317	303
OG0000010	485	485
OG0000011	481	481
OG0000012	475	475
OG0000013	288	264
OG0000014	459	459
OG0000015	290	280
OG0000016	238	221
OG0000017	249	240
OG0000018	390	390
OG0000019	90	90
OG0000020	355	355
OG0000021	309	295
OG0000022	225	207
OG0000023	349	349
OG0000024	172	159
OG0000025	254	248
OG0000026	318	307
OG0000027	251	246
OG0000028	245	228
OG0000029	289	280
OG0000030	221	209
OG0000031	304	301
OG0000032	219	213
OG0000033	182	171
OG0000034	326	326
OG0000035	189	182
OG0000036	214	207
OG0000037	199	190
OG0000038	190	174
OG0000039	256	238
OG0000040	219	208
OG0000041	290	285
OG0000042	281	281
OG0000043	294	294
OG0000044	245	218
OG0000045	235	227
OG0000046	182	175
OG0000047	173	162
OG0000048	169	162
OG0000049	179	168
OG0000050	152	139
OG0000051	155	142
OG0000052	198	184
OG0000053	210	185
OG0000054	169	152
OG0000055	153	143
OG0000056	177	175
OG0000057	178	162
OG0000058	248	248
OG0000059	157	148
OG0000060	242	242
OG0000061	143	126
OG0000062	168	152
OG0000063	168	163
OG0000064	139	130
OG0000065	232	232
OG0000066	160	152
OG0000067	134	129
OG0000068	187	158
OG0000069	150	146
OG0000070	120	116
OG0000071	134	132
OG0000072	150	136
OG0000073	134	129
OG0000074	116	97
OG0000075	129	121
OG0000076	223	223
OG0000077	132	128
OG0000078	189	170
OG0000079	185	179
OG0000080	121	119
OG0000081	217	217
OG0000082	129	126
OG0000083	155	152
OG0000084	128	117
OG0000085	164	143
OG0000086	181	168
OG0000087	211	211
OG0000088	134	124
OG0000089	129	119
OG0000090	162	155
OG0000091	132	124
OG0000092	131	128
OG0000093	141	130
OG0000094	130	118
OG0000095	142	131
OG0000096	135	129
OG0000097	194	193
OG0000098	175	163
OG0000099	129	124
OG0000100	137	127
OG0000101	144	140
OG0000102	149	136
OG0000103	158	153
OG0000104	123	117
OG0000105	119	111
OG0000106	100	95
OG0000107	134	126
OG0000108	198	198
OG0000109	121	119
OG0000110	167	163
OG0000111	134	130
OG0000112	120	116
OG0000113	121	118
OG0000114	119	101
OG0000115	120	106
OG0000116	118	112
OG0000117	125	121
OG0000118	114	106
OG0000119	187	187
OG0000120	114	106
OG0000121	127	123
OG0000122	185	185
OG0000123	131	125
OG0000124	113	97
OG0000125	106	102
OG0000126	176	176
OG0000127	136	134
OG0000128	92	91
OG0000129	115	110
OG0000130	103	100
OG0000131	105	98
OG0000132	113	104
OG0000133	102	86
OG0000134	121	118
OG0000135	115	105
OG0000136	9	7
OG0000137	88	79
OG0000138	138	127
OG0000139	172	172
OG0000140	173	173
OG0000141	108	100
OG0000142	99	93
OG0000143	132	131
OG0000144	93	89
OG0000145	104	93
OG0000146	111	97
OG0000147	114	96
OG0000148	106	103
OG0000149	131	127
OG0000150	98	88
OG0000151	111	105
OG0000152	99	95
OG0000153	19	17
OG0000154	104	98
OG0000155	112	101
OG0000156	92	87
OG0000157	116	113
OG0000158	99	92
OG0000159	96	88
OG0000160	96	84
OG0000161	147	146
OG0000162	106	98
OG0000163	107	105
OG0000164	112	109
OG0000165	118	109
OG0000166	76	72
OG0000167	107	101
OG0000168	119	114
OG0000169	103	102
OG0000170	133	112
OG0000171	90	80
OG0000172	138	121
OG0000173	106	100
OG0000174	105	100
OG0000175	154	154
OG0000176	96	92
OG0000177	100	93
OG0000178	111	89
OG0000179	142	141
OG0000180	101	94
OG0000181	153	153
OG0000182	100	93
OG0000183	103	91
OG0000184	105	100
OG0000185	106	103
OG0000186	151	151
OG0000187	103	91
OG0000188	150	150
OG0000189	93	90
OG0000190	92	92
OG0000191	92	84
OG0000192	99	93
OG0000193	149	149
OG0000194	146	146
OG0000195	79	78
OG0000196	104	102
OG0000197	147	147
OG0000198	77	74
OG0000199	98	98
OG0000200	125	123
OG0000201	86	79
OG0000202	116	113
OG0000203	88	82
OG0000204	108	101
OG0000205	93	90
OG0000206	110	101
OG0000207	92	88
OG0000208	140	140
OG0000209	109	104
OG0000210	88	86
OG0000211	80	77
OG0000212	107	97
OG0000213	95	90
OG0000214	84	84
OG0000215	95	91
OG0000216	83	74
OG0000217	99	92
OG0000218	86	84
OG0000219	102	88
OG0000220	129	123
OG0000221	102	89
OG0000222	85	84
OG0000223	77	72
OG0000224	116	115
OG0000225	117	112
OG0000226	139	139
OG0000227	137	137
OG0000228	106	104
OG0000229	94	91
OG0000230	78	74
OG0000231	70	69
OG0000232	71	64
OG0000233	135	135
OG0000234	76	73
OG0000235	69	69
OG0000236	99	90
OG0000237	85	82
OG0000238	73	70
OG0000239	89	84
OG0000240	77	67
OG0000241	90	80
OG0000242	83	78
OG0000243	79	68
OG0000244	75	73
OG0000245	91	89
OG0000246	77	73
OG0000247	88	82
OG0000248	71	70
OG0000249	72	66
OG0000250	80	67
OG0000251	88	86
OG0000252	86	80
OG0000253	80	76
OG0000254	71	63
OG0000255	58	51
OG0000256	74	72
OG0000257	65	64
OG0000258	83	81
OG0000259	78	75
OG0000260	116	94
OG0000261	97	89
OG0000262	76	64
OG0000263	78	77
OG0000264	100	99
OG0000265	72	69
OG0000266	71	65
OG0000267	79	74
OG0000268	92	90
OG0000269	83	75
OG0000270	61	58
OG0000271	122	122
OG0000272	65	64
OG0000273	70	68
OG0000274	63	60
OG0000275	63	59
OG0000276	121	121
OG0000277	76	72
OG0000278	76	75
OG0000279	119	119
OG0000280	87	81
OG0000281	83	77
OG0000282	72	71
OG0000283	69	65
OG0000284	87	87
OG0000285	76	69
OG0000286	69	63
OG0000287	71	68
OG0000288	80	76
OG0000289	75	71
OG0000290	79	77
OG0000291	86	83
OG0000292	69	64
OG0000293	48	48
OG0000294	114	114
OG0000295	47	41
OG0000296	77	73
OG0000297	81	79
OG0000298	69	68
OG0000299	68	66
OG0000300	66	64
OG0000301	70	68
OG0000302	79	75
OG0000303	66	64
OG0000304	70	66
OG0000305	104	101
OG0000306	114	114
OG0000307	57	56
OG0000308	68	66
OG0000309	58	55
OG0000310	78	76
OG0000311	113	113
OG0000312	75	70
OG0000313	56	54
OG0000314	59	55
OG0000315	63	60
OG0000316	76	74
OG0000317	86	84
OG0000318	101	98
OG0000319	71	70
OG0000320	60	59
OG0000321	57	55
OG0000322	66	66
OG0000323	59	57
OG0000324	59	55
OG0000325	75	65
OG0000326	58	57
OG0000327	82	81
OG0000328	53	53
OG0000329	68	65
OG0000330	58	57
OG0000331	48	45
OG0000332	76	66
OG0000333	65	56
OG0000334	94	84
OG0000335	83	82
OG0000336	55	53
OG0000337	65	62
OG0000338	61	59
OG0000339	62	61
OG0000340	94	92
OG0000341	72	69
OG0000342	106	106
OG0000343	59	59
OG0000344	92	87
OG0000345	66	62
OG0000346	60	59
OG0000347	105	105
OG0000348	62	58
OG0000349	66	64
OG0000350	62	59
OG0000351	94	83
OG0000352	60	58
OG0000353	85	74
OG0000354	65	62
OG0000355	67	65
OG0000356	66	63
OG0000357	80	79
OG0000358	104	104
OG0000359	51	49
OG0000360	67	63
OG0000361	46	45
OG0000362	71	66
OG0000363	60	57
OG0000364	52	51
OG0000365	65	65
OG0000366	53	50
OG0000367	69	63
OG0000368	59	56
OG0000369	58	56
OG0000370	59	37
OG0000371	60	60
OG0000372	51	50
OG0000373	61	61
OG0000374	66	63
OG0000375	85	79
OG0000376	67	67
OG0000377	54	54
OG0000378	67	63
OG0000379	57	55
OG0000380	97	97
OG0000381	68	64
OG0000382	62	59
OG0000383	62	58
OG0000384	65	62
OG0000385	59	57
OG0000386	57	53
OG0000387	61	60
OG0000388	51	50
OG0000389	99	99
OG0000390	64	61
OG0000391	70	69
OG0000392	79	79
OG0000393	64	57
OG0000394	67	66
OG0000395	63	57
OG0000396	52	51
OG0000397	63	43
OG0000398	95	94
OG0000399	55	52
OG0000400	71	62
OG0000401	72	67
OG0000402	75	75
OG0000403	62	58
OG0000404	67	61
OG0000405	39	38
OG0000406	57	55
OG0000407	54	53
OG0000408	57	53
OG0000409	48	46
OG0000410	56	50
OG0000411	53	48
OG0000412	65	63
OG0000413	90	90
OG0000414	59	59
OG0000415	84	78
OG0000416	48	45
OG0000417	79	66
OG0000418	43	43
OG0000419	51	48
OG0000420	53	50
OG0000421	95	95
OG0000422	61	60
OG0000423	47	46
OG0000424	48	45
OG0000425	60	56
OG0000426	64	60
OG0000427	69	69
OG0000428	86	85
OG0000429	44	39
OG0000430	85	85
OG0000431	54	54
OG0000432	60	57
OG0000433	63	62
OG0000434	51	50
OG0000435	51	50
OG0000436	49	47
OG0000437	52	50
OG0000438	58	57
OG0000439	55	53
OG0000440	63	61
OG0000441	58	57
OG0000442	59	54
OG0000443	47	46
OG0000444	47	45
OG0000445	43	41
OG0000446	56	53
OG0000447	80	79
OG0000448	49	47
OG0000449	59	58
OG0000450	63	56
OG0000451	56	54
OG0000452	90	90
OG0000453	72	59
OG0000454	57	57
OG0000455	42	39
OG0000456	50	45
OG0000457	59	58
OG0000458	52	51
OG0000459	56	52
OG0000460	51	49
OG0000461	51	48
OG0000462	61	57
OG0000463	51	50
OG0000464	53	52
OG0000465	74	73
OG0000466	45	43
OG0000467	55	54
OG0000468	55	54
OG0000469	41	41
OG0000470	45	45
OG0000471	54	54
OG0000472	55	54
OG0000473	59	59
OG0000474	63	56
OG0000475	57	51
OG0000476	57	57
OG0000477	53	50
OG0000478	56	50
OG0000479	45	38
OG0000480	40	40
OG0000481	48	47
OG0000482	52	52
OG0000483	49	44
OG0000484	61	55
OG0000485	50	49
OG0000486	54	51
OG0000487	44	43
OG0000488	50	42
OG0000489	56	53
OG0000490	42	42
OG0000491	50	49
OG0000492	50	46
OG0000493	84	84
OG0000494	76	76
OG0000495	53	50
OG0000496	54	54
OG0000497	40	38
OG0000498	35	34
OG0000499	59	57
OG0000500	52	52
OG0000501	69	69
OG0000502	39	38
OG0000503	58	56
OG0000504	46	45
OG0000505	47	47
OG0000506	44	43
OG0000507	58	56
OG0000508	45	45
OG0000509	82	82
OG0000510	50	50
OG0000511	44	43
OG0000512	37	35
OG0000513	40	37
OG0000514	36	35
OG0000515	38	37
OG0000516	81	81
OG0000517	70	64
OG0000518	48	46
OG0000519	33	29
OG0000520	48	48
OG0000521	37	33
OG0000522	77	77
OG0000523	50	48
OG0000524	44	41
OG0000525	52	51
OG0000526	80	80
OG0000527	56	55
OG0000528	36	35
OG0000529	37	35
OG0000530	72	70
OG0000531	37	36
OG0000532	36	36
OG0000533	50	48
OG0000534	56	53
OG0000535	50	43
OG0000536	47	46
OG0000537	51	50
OG0000538	56	56
OG0000539	46	38
OG0000540	34	34
OG0000541	42	40
OG0000542	43	39
OG0000543	39	38
OG0000544	49	48
OG0000545	52	52
OG0000546	42	42
OG0000547	44	44
OG0000548	48	46
OG0000549	37	35
OG0000550	43	40
OG0000551	47	46
OG0000552	40	38
OG0000553	61	61
OG0000554	70	70
OG0000555	49	46
OG0000556	63	63
OG0000557	40	37
OG0000558	54	54
OG0000559	39	38
OG0000560	37	35
OG0000561	37	37
OG0000562	52	52
OG0000563	48	39
OG0000564	77	77
OG0000565	62	62
OG0000566	53	52
OG0000567	49	49
OG0000568	45	44
OG0000569	48	45
OG0000570	70	70
OG0000571	42	41
OG0000572	47	46
OG0000573	33	32
OG0000574	51	45
OG0000575	44	38
OG0000576	48	46
OG0000577	51	42
OG0000578	45	42
OG0000579	42	39
OG0000580	49	49
OG0000581	41	40
OG0000582	43	40
OG0000583	50	46
OG0000584	54	54
OG0000585	42	39
OG0000586	41	39
OG0000587	37	36
OG0000588	43	43
OG0000589	41	40
OG0000590	41	38
OG0000591	40	37
OG0000592	46	41
OG0000593	66	61
OG0000594	45	45
OG0000595	43	38
OG0000596	58	58
OG0000597	49	45
OG0000598	35	35
OG0000599	44	39
OG0000600	73	73
OG0000601	40	38
OG0000602	34	32
OG0000603	49	45
OG0000604	54	54
OG0000605	36	35
OG0000606	40	40
OG0000607	73	73
OG0000608	45	45
OG0000609	45	42
OG0000610	52	44
OG0000611	43	42
OG0000612	53	49
OG0000613	46	41
OG0000614	38	38
OG0000615	45	42
OG0000616	44	43
OG0000617	46	43
OG0000618	43	41
OG0000619	31	29
OG0000620	40	38
OG0000621	39	36
OG0000622	39	38
OG0000623	39	36
OG0000624	31	30
OG0000625	67	61
OG0000626	52	51
OG0000627	43	43
OG0000628	70	70
OG0000629	39	37
OG0000630	34	34
OG0000631	46	43
OG0000632	43	43
OG0000633	51	50
OG0000634	56	56
OG0000635	44	43
OG0000636	57	49
OG0000637	32	32
OG0000638	36	36
OG0000639	34	34
OG0000640	29	28
OG0000641	70	70
OG0000642	44	41
OG0000643	36	34
OG0000644	49	49
OG0000645	62	62
OG0000646	44	41
OG0000647	59	59
OG0000648	66	66
OG0000649	31	31
OG0000650	31	30
OG0000651	34	34
OG0000652	35	34
OG0000653	67	67
OG0000654	48	45
OG0000655	55	48
OG0000656	38	35
OG0000657	60	54
OG0000658	33	31
OG0000659	68	68
OG0000660	28	27
OG0000661	30	29
OG0000662	36	36
OG0000663	40	38
OG0000664	45	43
OG0000665	36	36
OG0000666	29	28
OG0000667	35	35
OG0000668	27	27
OG0000669	30	30
OG0000670	43	43
OG0000671	39	31
OG0000672	43	39
OG0000673	36	34
OG0000674	47	46
OG0000675	68	68
OG0000676	33	33
OG0000677	31	31
OG0000678	38	37
OG0000679	36	33
OG0000680	31	31
OG0000681	34	32
OG0000682	34	32
OG0000683	40	38
OG0000684	63	63
OG0000685	49	47
OG0000686	39	38
OG0000687	44	35
OG0000688	34	34
OG0000689	65	65
OG0000690	43	38
OG0000691	36	34
OG0000692	33	32
OG0000693	27	26
OG0000694	40	38
OG0000695	32	32
OG0000696	33	30
OG0000697	55	55
OG0000698	38	34
OG0000699	42	37
OG0000700	45	42
OG0000701	46	46
OG0000702	43	38
OG0000703	30	29
OG0000704	65	65
OG0000705	38	37
OG0000706	31	30
OG0000707	28	28
OG0000708	64	64
OG0000709	40	32
OG0000710	29	29
OG0000711	26	26
OG0000712	33	31
OG0000713	65	65
OG0000714	64	64
OG0000715	40	37
OG0000716	37	37
OG0000717	49	49
OG0000718	40	37
OG0000719	37	37
OG0000720	57	56
OG0000721	29	29
OG0000722	30	30
OG0000723	35	34
OG0000724	30	28
OG0000725	30	30
OG0000726	27	26
